Eval num episodes,Eval avg final dist,Eval success ratio,Eval final puck distance Mean,Eval final puck distance Std,Eval final puck distance Max,Eval final puck distance Min,Eval final endeff distance Mean,Eval final endeff distance Std,Eval final endeff distance Max,Eval final endeff distance Min,Eval puck movement Mean,Eval puck movement Std,Eval puck movement Max,Eval puck movement Min,Eval endeff movement Mean,Eval endeff movement Std,Eval endeff movement Max,Eval endeff movement Min,policy loss,timesteps,epoch time (s),total time (s)
50,0.18966047069940017,0.08,0.18966047069940017,0.10028793212909112,0.3472006708786054,0.021521643618855148,0.2596831567999669,0.06882169210271835,0.3730465469208165,0.16892781296200338,0.010538061548500309,0.022956503283170306,0.1000351084096793,5.610396582646659e-08,0.18472629489670914,0.007737341827966888,0.1948362920286449,0.17077593039387154,0,0,5.135151624679565,5.135154485702515
50,0.13854842596484376,0.16,0.13854842596484376,0.09097361790557289,0.3197919367311157,0.02806014818656745,0.057012841956236314,0.04309813839066586,0.2081893815542649,0.004757384243584831,0.029402306816409568,0.0565217465094007,0.2525759756492528,8.729770136673417e-07,0.195248127280091,0.15291424157851854,0.39269626555939235,9.09344596874922e-10,2.1285033942679163,10000,115.4526355266571,120.5877935886383
50,0.08789183095340411,0.24,0.08789183095340411,0.056506370516810754,0.26952064042846496,0.0025814638231176617,0.09132220488935623,0.08129305365634296,0.31936981295672934,0.0049874672924041545,0.06244419058855726,0.10167159372565801,0.3120897277511631,1.31071743926112e-06,0.09950682246118482,0.14303225994385874,0.39168268571505915,2.2708938575581926e-09,1.9543845547444536,20000,123.15858769416809,243.74638557434082
50,0.08276315900482999,0.36,0.08276315900482999,0.06421623373687349,0.2986161949139125,0.0020113276119905136,0.05187691610210174,0.04950430517789326,0.22901845201194385,0.0021274523814778542,0.0941757941839535,0.10918209929942224,0.3174636889657303,1.6445392461876095e-06,0.16961018041260634,0.16410667453350547,0.3889153432048128,6.305909216384533e-10,1.8869202088931716,30000,122.7519154548645,366.49830532073975
50,0.09819192146684025,0.2,0.09819192146684025,0.05730746747461698,0.23774850323551108,0.003961328906848821,0.10868208539009604,0.08208267920461276,0.2595929345375675,0.00751048401015685,0.08196615091250126,0.11473652224294958,0.30792246244944665,1.4991847378054013e-06,0.13625071391764096,0.15984997567667414,0.39708153991240636,1.882985076692339e-09,1.870663633945157,40000,122.36107397079468,488.85938358306885
50,0.1254013070531438,0.26,0.1254013070531438,0.07688522672549654,0.2628489064543205,0.010253740826358188,0.14015390372346473,0.09962328522234314,0.3242144610853692,0.006737993694811332,0.06432270931801579,0.10135832615400578,0.3125985723194257,1.5581808982929202e-06,0.11681093520309675,0.1528178759508668,0.38648212271383475,1.5139782166223175e-09,1.833641793918312,50000,123.42533159255981,612.2847187519073
50,0.09626774761548829,0.3,0.09626774761548829,0.06651758839070185,0.2610709055047883,0.004026940124090771,0.11832893871651767,0.09591669126572369,0.30199315017590567,0.01105420398215797,0.10733642385678896,0.11326780227882387,0.30238712740348966,1.45936431297e-06,0.1554000421747152,0.1439404031786082,0.39350089968404894,0.0005296778646288612,1.8101517328569485,60000,122.90991163253784,735.1946356296539
50,0.08627030594115023,0.4,0.08627030594115023,0.056725108452466554,0.24516552694459115,0.015232072423501032,0.06776067430747731,0.07006272539511439,0.22399146800197456,0.004412477587308269,0.11678271591971534,0.10323323296415962,0.31229082844150624,1.3747383591660384e-06,0.19474208927544917,0.12468651098741537,0.38623365576574265,0.001376051800027453,1.7902073232238627,70000,122.91111397743225,858.1057534217834
50,0.08111658378423284,0.32,0.08111658378423284,0.05409162567227536,0.26415156139507234,0.017386490961151527,0.08219918759249908,0.07357285141877051,0.245244683564693,0.0020530734428063436,0.09608267874263071,0.11081486558700832,0.3075116376348157,1.0763444089914177e-06,0.16322875603627118,0.12655662820029132,0.3875108212139956,1.250682727793813e-09,1.76819272196735,80000,123.20372700691223,981.3094840049744
50,0.0900530711092802,0.28,0.0900530711092802,0.06460999091046439,0.2879847593121573,0.006300340495016191,0.07385162076783265,0.07540224118062498,0.2825934580555516,0.0067002302575213425,0.0998519238791782,0.1049827053892366,0.31044870120651147,1.5261331882004544e-06,0.1681364498294527,0.13756453435406568,0.3963086931251614,8.359972355903027e-10,1.7672316350402488,90000,123.42337322235107,1104.7328634262085
