Eval num episodes,Eval avg final dist,Eval success ratio,Eval final door distance Mean,Eval final door distance Std,Eval final door distance Max,Eval final door distance Min,Eval min door distance Mean,Eval min door distance Std,Eval min door distance Max,Eval min door distance Min,policy loss,timesteps,epoch time (s),total time (s),Conditional loss,Marginal loss,Validation loss,Conditional Validation loss,Marginal Validation loss
50,0.3623388185925954,0.08,0.3623388185925954,0.24055067305241365,0.7840751853842322,0.003897245160390821,0.3623388185925954,0.24055067305241365,0.7840751853842322,0.003897245160390821,0,0,9.04168701171875,9.0416898727417,0,0,0,0,0
50,0.26365629798529655,0.08,0.26365629798529655,0.21755587637064386,0.7724959150162378,0.025559631480280454,0.17072827555243372,0.19127151931826938,0.7721728954809131,8.088619499080352e-05,6.494140684657691,3.2426626404231342,3.251477993604581,6.676566003024628,3.33435678719259,3.342209249134302,10000,170.40785598754883,179.44955134391785
50,0.27251340003059954,0.22,0.27251340003059954,0.20381433980206154,0.7080108124002849,0.0010240763119162821,0.11605270664733172,0.17982035496880588,0.5251490846173859,6.569479036955261e-05,6.338833072589857,3.159573229985089,3.17925984876545,6.52290793422292,3.260370058715833,3.262537835001646,20000,184.31718587875366,363.76674151420593
50,0.23988788709226175,0.2,0.23988788709226175,0.19387147013985817,0.6642925396985501,0.015052490489984888,0.07242422207524023,0.13788953581136906,0.5308946947309138,0.00017324777715732598,6.207688094584653,3.0932000103727453,3.1144881265225948,6.439681914966491,3.213956366595059,3.2257256037041317,30000,183.07696986198425,546.8437151908875
50,0.2637795862117764,0.16,0.2637795862117764,0.2093546245609459,0.7374845325668629,0.0016540324065467127,0.059877679912628975,0.1072230060656483,0.48123443898331936,7.08685844613699e-05,6.140394179538144,3.055206835488078,3.085187334349608,6.3506614025999415,3.1656299076140404,3.1850315624916585,40000,182.21631717681885,729.060035943985
50,0.23825431706847935,0.28,0.23825431706847935,0.2408283851591528,0.8266642639915905,0.021521927738517264,0.15933990983802188,0.2619073876176937,0.8266642639915905,0.0003234155616919643,6.12747180558103,3.0508828291278363,3.076588979563089,6.270653251752057,3.125962409387312,3.1446908873951305,50000,182.54870295524597,911.6087429523468
50,0.2525490294195834,0.28,0.2525490294195834,0.22422309051496106,0.6534665747582762,0.003325960778876702,0.05139853925751967,0.08391864743115401,0.305050845871703,3.834697743859694e-05,6.080586602708378,3.029862843932294,3.0507236261397,6.212092149321851,3.096148279916145,3.1159438786267883,60000,182.58513808250427,1094.1938843727112
50,0.32145918356667513,0.12,0.32145918356667513,0.1852671901306774,0.6114725066302487,0.006884426204380109,0.13084937819736756,0.15862533043572982,0.4564676873572825,0.000188030879903045,6.034235832920363,3.0021764963456357,3.032059250598423,6.153802911622714,3.0697425081682077,3.0840604813564267,70000,185.139817237854,1279.3337059020996
50,0.1944567241518473,0.24,0.1944567241518473,0.19229891826497236,0.6859088275606148,0.011555621611130834,0.03719908265940833,0.06766600630105092,0.2859579759039413,0.0002159897215138762,6.022303758567322,2.998893570139103,3.023410231734349,6.133441192828402,3.055381224845264,3.0780599243746214,80000,186.41523718833923,1465.7489471435547
50,0.14325003906007397,0.38,0.14325003906007397,0.15769981951914594,0.6279819356962352,0.0005419505912721556,0.02631430011470489,0.051263635439241735,0.23893354368436245,0.00015640229570529351,5.966343377322662,2.9703770607717894,2.9959663540485626,6.135404431935468,3.0561712374137304,3.0792331995459423,90000,186.58797788619995,1652.336929321289
50,0.2157546584220425,0.48,0.2157546584220425,0.24856775682077012,0.7732152933483744,0.0018746379542095293,0.14927513268287623,0.24577063848874786,0.773155118355874,0.0001638961008629588,6.011154594259167,2.9930496312515924,3.018105040939688,6.0696498047282255,3.0252643158377652,3.044385539752962,100000,187.1540286540985,1839.490961074829
50,0.1459429459475042,0.4,0.1459429459475042,0.20298440466012463,0.7803917347553477,0.00013657121492305357,0.029916751098258053,0.05566202944570775,0.29028392157272276,3.6072267414088977e-05,5.973895857172635,2.9729277579789626,3.000968147544931,6.099020320123832,3.0396797322501232,3.059340557267828,110000,186.5001404285431,2025.991105556488
50,0.17696073503726353,0.4,0.17696073503726353,0.22909036686977835,0.7941705678569033,0.0028272377353255954,0.11869950441193433,0.22359141383153278,0.7210919723395809,2.363297314900148e-05,5.937310680918866,2.9558202847523027,2.9814902792714237,6.0318707030935155,3.007653810040868,3.0242168695928777,120000,187.1295816898346,2213.120690345764
50,0.25737626141817577,0.32,0.25737626141817577,0.25185226111528514,0.7503952836218089,0.005571418832283949,0.2286395494916782,0.2606883588028563,0.7311183725078255,3.8285581625885357e-05,5.963081783051745,2.971079395886061,2.992002452170158,6.06964067092336,3.025366388695683,3.044274339585213,130000,186.622629404068,2399.7433235645294
50,0.17160980873240173,0.48,0.17160980873240173,0.21187718205946868,0.6368488489814259,0.0004594761638422873,0.02540657499858967,0.06838077649695525,0.35491647319801173,0.0003719706707056014,5.924908960279081,2.9509113607354065,2.973997489825983,6.033708290657756,3.009651042323848,3.024057265270471,140000,184.99629020690918,2584.739617586136
50,0.41195879670733454,0.14,0.41195879670733454,0.28523950831065026,0.8276337466734569,0.0022898250011856285,0.4071057594358414,0.2904211235755724,0.8276337466734569,0.0022898250011856285,5.986403200786306,2.979670754175681,3.0067324987083413,6.026397597389843,3.0025141640778514,3.023883410789393,150000,186.8342044353485,2771.5738253593445
