Eval num episodes,Eval avg final dist,Eval success ratio,Eval mean final angle dist,Eval median final angle dist,Eval mean final angle moved,Eval median final angle moved,policy loss,timesteps,epoch time (s),total time (s),Conditional loss,Marginal loss,Validation loss,Conditional Validation loss,Marginal Validation loss
50,1.5892159941259212,0.0,1.5892159941259212,1.5155186105071166,0.2095122280741416,0.13415032991921916,0,0,9.541321277618408,9.541324138641357,0,0,0,0,0
50,1.3761211458281237,0.04,1.3761211458281237,1.2304844863492876,0.3754651045071726,0.3004113821874565,16.048948990937227,7.997857056972799,8.051091714913298,23.856591095831536,11.96221760291712,11.894373574193407,10000,142.36678266525269,151.90811228752136
50,1.5924393753618702,0.02,1.5924393753618702,1.4374254572273109,0.44182990085287843,0.4118290222754967,13.583475933871537,6.478975763456089,7.104500025577307,21.582754854576294,10.704673243932127,10.878081578728862,20000,153.59975910186768,305.50787591934204
50,1.3237918004256128,0.04,1.3237918004256128,1.098683833304528,0.471189145073929,0.4900394533065944,12.71471826621204,5.974305037195288,6.740413297981461,20.16638924175346,10.036177632543616,10.130211430060001,30000,152.69091391563416,458.19879388809204
50,1.2725057960134831,0.12,1.2725057960134831,0.8998644968383023,0.48996307528556005,0.3936874015696804,11.893081141659211,5.551284340511054,6.341796955279666,18.50816999082382,9.23217719500997,9.275992549483792,40000,153.66064548492432,611.8594431877136
50,1.4762955040827024,0.06,1.4762955040827024,1.5141598571846426,0.767554288426252,0.6502073363439838,11.154951881488202,5.198441596293664,5.95651036034966,17.530080326743768,8.728525418138084,8.801554706877058,50000,153.77478051185608,765.634227514267
50,1.4840587928403772,0.04,1.4840587928403772,1.5553591747258806,0.6246327330837353,0.5433148113497801,10.769514692302137,5.026969179563663,5.7425455995307795,16.8410380644859,8.38043374966547,8.460604286884866,60000,154.91815447807312,920.5523860454559
50,1.2558575583875058,0.08,1.2558575583875058,0.9788151290792398,0.4818709215418289,0.37685864094274,10.558394074154098,4.912756161238076,5.645637899054506,15.796040626134019,7.855110108339284,7.9409305932665255,70000,155.11507892608643,1075.6674687862396
50,1.2828580267405332,0.12,1.2828580267405332,1.1000893893954982,0.5063462607486234,0.406705031585641,10.034952875012811,4.681577041899844,5.353375840254436,14.629706192126287,7.188920505890907,7.440785726232798,80000,155.03739142417908,1230.7048645019531
50,1.6067480769430844,0.04,1.6067480769430844,1.5912944100844864,0.5944528600458073,0.49469053228794224,9.996322823999865,4.665983396389331,5.330339372456583,14.259997225200369,6.991977568079589,7.26801979928489,90000,155.26033663749695,1385.9652049541473
50,1.3587134356840245,0.06,1.3587134356840245,1.2137943053706357,0.5449537307721652,0.4456151315589438,9.817420420107899,4.563539686457808,5.253880714963635,13.682776011978676,6.778838527705965,6.903937319777421,100000,157.16619205474854,1543.1314010620117
50,1.1144755431617361,0.08,1.1144755431617361,0.8527979978918956,0.4763909831926755,0.3849499693845274,9.456960650925629,4.3940249264380284,5.062935909530496,13.360962336114069,6.581485952434039,6.779476474033974,110000,158.29664707183838,1701.4280524253845
50,1.213953917469416,0.06,1.213953917469416,1.1031702617770573,0.45936657935085506,0.42163114652677625,9.487030502779552,4.424832391360346,5.0621980719643584,13.05246050538661,6.451728995090797,6.600731742460655,120000,157.42287468910217,1858.8509318828583
50,1.4354046568909866,0.04,1.4354046568909866,1.4130993878278963,0.4406119643877004,0.302645325920485,9.230295927171293,4.324078631953478,4.906217372001846,12.746397574647558,6.288045183579292,6.458352478165584,130000,158.16604137420654,2017.0169773101807
50,1.2369204509326537,0.06,1.2369204509326537,1.0642844282283797,0.6667411297626511,0.6741259661574509,9.139406107734185,4.23711776644477,4.902288583621173,12.296659499651255,6.066915143162634,6.229744624902374,140000,158.15436673164368,2175.1713478565216
50,1.335382635778715,0.1,1.335382635778715,0.9899396120695294,0.6388021573479685,0.5011620304106056,9.093034492246055,4.251753458533386,4.841281055586615,12.038642446566932,5.9197647902600385,6.118877700489038,150000,158.34622359275818,2333.5175750255585
50,1.1113367572185282,0.08,1.1113367572185282,0.8557383221714211,0.6981660856148895,0.6237629094594941,8.98584922411866,4.206369055814206,4.7794800966197455,11.7889277655286,5.747334412174589,6.041593326510868,160000,158.02103567123413,2491.5386147499084
50,1.4082401523851649,0.02,1.4082401523851649,1.2042616872543292,0.49330857865609873,0.4339896287833485,8.90769578634737,4.1606902838963595,4.747005522391239,11.768432187441295,5.775924303853854,5.992507858430959,170000,158.37829637527466,2649.916915178299
50,1.3003086746353827,0.12,1.3003086746353827,1.2127198157337644,0.5428190574903458,0.39988815467382555,8.877760289850631,4.161302889642596,4.716457502168473,11.338301425588623,5.544835045691776,5.793466331882634,180000,158.55670022964478,2808.4736189842224
50,1.36361188785516,0.0,1.36361188785516,1.096929308440608,0.4871405494766348,0.4745445778422288,8.699494392815895,4.087429202932507,4.612065304443763,11.645360293421279,5.705155104099035,5.940205347694301,190000,156.9917995929718,2965.4654223918915
50,1.0085373401145852,0.1,1.0085373401145852,0.8157650427260317,0.6430614916966847,0.5387226385343094,8.836080026148323,4.139335198607803,4.69674477873211,11.068692226369935,5.432653994099198,5.636038471336251,200000,157.52634739875793,3122.9917764663696
50,1.4105997559628978,0.04,1.4105997559628978,1.2873980569614567,0.5909838052353905,0.490054608235864,8.646286826809975,4.066151781830836,4.580135035281118,10.976830316932693,5.380299335844434,5.596530937930413,210000,158.03177618980408,3281.0235567092896
