Eval num episodes,Eval avg final dist,Eval success ratio,Eval success ratio_left,Eval success ratio_right,Eval n_left,Eval n_right,Eval final door distance Mean,Eval final door distance Std,Eval final door distance Max,Eval final door distance Min,Eval min door distance Mean,Eval min door distance Std,Eval min door distance Max,Eval min door distance Min,policy loss,timesteps,epoch time (s),total time (s)
50,0.286814121794347,0.14,0.1891891891891892,0.0,37,13,0.286814121794347,0.22819604357891174,0.8036570916864325,0.010421463321456603,0.286814121794347,0.22819604357891174,0.8036570916864325,0.010421463321456603,0,0,8.687171459197998,8.687180042266846
50,0.23325151575930703,0.1,0.08108108108108109,0.15384615384615385,37,13,0.23325151575930703,0.21691561712986354,0.79779341207268,0.005316640771341132,0.15830605138809115,0.23316194416539315,0.79779341207268,0.0007638463625177505,3.236307082769402,10000,133.80469155311584,142.49187564849854
50,0.20082572409764743,0.3,0.3684210526315789,0.08333333333333333,38,12,0.20082572409764743,0.24096083962766246,0.81911101598121,0.0024500034900177825,0.12620558365799003,0.245377896469824,0.81911101598121,0.00037419132835458946,3.169038112180526,20000,141.58918619155884,284.08106660842896
50,0.1490244608738345,0.4,0.4358974358974359,0.2727272727272727,39,11,0.1490244608738345,0.16892449951511476,0.7064653815758238,0.0016551611690231304,0.04011051907328505,0.04586877160806914,0.18708943522264687,0.00019341543086653923,3.112834320996233,30000,142.89148592948914,426.9725570678711
50,0.11333951763185622,0.26,0.3333333333333333,0.0,39,11,0.11333951763185622,0.1068402512114551,0.6325879206598642,0.003915348477497971,0.03556651703438029,0.053462740107089034,0.1988941396116477,0.00010429691496453147,3.077327492863387,40000,142.09519052505493,569.0677511692047
50,0.1003136583796213,0.34,0.47058823529411764,0.0625,34,16,0.1003136583796213,0.08089280656724966,0.4128279776200393,0.0010119739154049179,0.033808918380041006,0.05750629975672447,0.24343145908559238,0.00034976334162334366,3.0647750975622823,50000,145.6945722103119,714.762327671051
50,0.10537463940135293,0.24,0.15,0.6,40,10,0.10537463940135293,0.07981039988963855,0.30063715398824076,0.0003101417642658033,0.016405465869985356,0.017705042732454553,0.08515878716160186,0.0001656942695920094,3.0383160573556443,60000,140.23343420028687,854.9957659244537
50,0.19561506267822032,0.32,0.32432432432432434,0.3076923076923077,37,13,0.19561506267822032,0.17058001013882723,0.44992755842628496,0.0009054630347559156,0.04677144813372651,0.05744793795696228,0.2306544092661974,0.0009054630347546944,3.0094391562481455,70000,141.4204807281494,996.4162499904633
50,0.18366299404041,0.22,0.2,0.3,40,10,0.18366299404041,0.1519604888778045,0.5175412573438329,0.0027583149738719115,0.032506735180210175,0.0479589906188966,0.23441529637200487,0.0003058416568424427,3.0192438463393163,80000,141.1255600452423,1137.5418138504028
50,0.2669790001172236,0.02,0.02127659574468085,0.0,47,3,0.2669790001172236,0.14535213939462663,0.5693158401567244,0.006909485161407769,0.04063598619432165,0.05830549477737719,0.2978447253095139,0.0004745114521929883,2.9937382695105788,90000,140.85546469688416,1278.3972821235657
50,0.21744772990210484,0.06,0.045454545454545456,0.16666666666666666,44,6,0.21744772990210484,0.10661609017166546,0.42207505128094386,0.010063146552522995,0.05886854990762824,0.05575886291806049,0.1529465201296416,0.0008504280661263755,3.0094983156497452,100000,141.83951044082642,1420.2367994785309
50,0.09785298424006199,0.42,0.42105263157894735,0.4166666666666667,38,12,0.09785298424006199,0.10639482313165474,0.46369657561962335,0.007202966570283298,0.009938224241996819,0.01685081619617043,0.08151485812536774,7.68143705708324e-05,3.0030081185795163,110000,141.20624661445618,1561.4430499076843
50,0.10034493124438798,0.3,0.325,0.2,40,10,0.10034493124438798,0.08099544299315892,0.4385850474308856,0.001120965206967528,0.059039783132712714,0.06910407483511533,0.22186877620624823,4.016756245006636e-06,2.9902176591071954,120000,142.1146478652954,1703.557701587677
50,0.13099032173537012,0.46,0.38461538461538464,0.7272727272727273,39,11,0.13099032173537012,0.1598987401636399,0.7629397481488154,0.0023918949583555116,0.013202887043493452,0.024401727674969273,0.16598420145725568,0.00017968121916883684,2.9871601631200777,130000,141.2679362297058,1844.8256413936615
50,0.12941620628725498,0.4,0.3157894736842105,0.6666666666666666,38,12,0.12941620628725498,0.11860416633150547,0.5649392186000791,0.0018454356566069141,0.010435888346021388,0.014283603789427697,0.06884067901996627,0.0001517487160710429,2.961821624104605,140000,142.22448778152466,1987.0501327514648
50,0.1263253347092394,0.36,0.35,0.4,40,10,0.1263253347092394,0.1444626444208107,0.6873473697374362,0.00027700684935816344,0.027196994389957426,0.0970764866915777,0.6873473697374362,4.655865438540907e-05,2.970312252782879,150000,144.3294939994812,2131.3796305656433
50,0.13057420514420812,0.44,0.38636363636363635,0.8333333333333334,44,6,0.13057420514420812,0.1350914672061765,0.5458193185177098,0.003014448242272094,0.007356902686451061,0.010119626899387951,0.037392959788631816,4.893255771609706e-05,2.976210148185448,160000,144.0083339214325,2275.3879721164703
50,0.08502974006491541,0.52,0.5365853658536586,0.4444444444444444,41,9,0.08502974006491541,0.09921311715443233,0.3501932442520248,9.754480099322116e-06,0.012441787073847776,0.020014967385446825,0.10266257393631018,1.0309145586639978e-06,2.966679493379992,170000,143.96706986427307,2419.3550465106964
50,0.21670184788237012,0.2,0.13953488372093023,0.5714285714285714,43,7,0.21670184788237012,0.15945827541328395,0.5219038801710905,0.0002281804460821287,0.03300662436808932,0.03460861148085218,0.11835976638665291,0.0002281804460821287,2.9715280812474276,180000,144.36616730690002,2563.7212178707123
