Eval num episodes,Eval avg final dist,Eval success ratio,Eval success ratio_left,Eval success ratio_right,Eval n_left,Eval n_right,Eval final puck distance Mean,Eval final puck distance Std,Eval final puck distance Max,Eval final puck distance Min,Eval final endeff distance Mean,Eval final endeff distance Std,Eval final endeff distance Max,Eval final endeff distance Min,Eval puck movement Mean,Eval puck movement Std,Eval puck movement Max,Eval puck movement Min,Eval endeff movement Mean,Eval endeff movement Std,Eval endeff movement Max,Eval endeff movement Min,policy loss,timesteps,epoch time (s),total time (s)
50,0.1589739329469028,0.1,0.25,0.08695652173913043,4,46,0.1589739329469028,0.09276395983450109,0.3350034180335256,0.022684709319596423,0.22573898850928623,0.10546212845437888,0.42542969229893,0.015275191412985277,0.00871195061180647,0.01807149996451483,0.07438413500570705,2.090477933405043e-08,0.18600977338079935,0.006465150169730662,0.194412287966563,0.17217611179928183,0,0,5.340617418289185,5.34062123298645
50,0.13659471883981306,0.12,0.5,0.10416666666666667,2,48,0.13659471883981306,0.08023052476629357,0.32370544773898036,0.01242012261179549,0.06477141932967809,0.044169997529543065,0.17546080521132343,0.011155889595819946,0.09091667651237667,0.06371335134131148,0.2028805714778901,9.694633493745265e-07,0.20757274781064158,0.08149283231970544,0.3918082636259834,0.02538624644937916,2.1155561926153896,10000,114.15994477272034,119.50057053565979
50,0.08493989226914624,0.32,0.0,0.32653061224489793,1,49,0.08493989226914624,0.05627615927072717,0.26766067948397987,0.008386184521619034,0.07467759208920172,0.05267407918713355,0.27831596102671335,0.003912141021818842,0.13074461790008324,0.08421133124318149,0.2986770551083678,9.95924908180354e-07,0.2260384237614203,0.06852487540264143,0.3476190226682894,0.06233300874806633,1.9663883063246732,20000,122.72686648368835,242.2274408340454
50,0.08620010506958417,0.34,0.5,0.3333333333333333,2,48,0.08620010506958417,0.06688166307876747,0.2921525331299838,0.009651405766656613,0.09931579475156777,0.09178612710694574,0.3701144768409495,0.0033669266477888175,0.11906707218077481,0.10054121636408625,0.3478774754820796,1.0139039780203662e-06,0.23094780055430458,0.08386188938816938,0.3600350010670129,0.060333000003614946,1.8921751603087462,30000,122.83733224868774,365.064777135849
50,0.08300536408222374,0.36,1.0,0.3469387755102041,1,49,0.08300536408222374,0.07755372563610113,0.35318693712756705,0.007407989062617323,0.10477191325202811,0.09394137313566507,0.3512655085475402,0.010873613675486334,0.10327155661115653,0.10084004590744702,0.33863138802362536,8.201256874205749e-07,0.2594015324794382,0.08930525879252176,0.35426889463935146,0.06223909535993288,1.8071952510791502,40000,122.93246674537659,487.99724864959717
50,0.09317306309992594,0.32,0.0,0.3333333333333333,2,48,0.09317306309992594,0.06870667257544812,0.2799435238831235,0.010037366614483914,0.11192627430594534,0.08259708420042008,0.3439868301527012,0.007656698822732958,0.10861525149683178,0.08969477989619358,0.2992386651801645,6.405302669928073e-07,0.2496177211784606,0.07713311002109269,0.35655549851082374,0.05740428546452422,1.772173367471874,50000,122.29827952384949,610.2955324649811
50,0.06398517411304935,0.5,0.8333333333333334,0.45454545454545453,6,44,0.06398517411304935,0.046987240547075496,0.17623797252117296,0.005785646501743781,0.10684057224483662,0.10740258594814502,0.3743783688485463,0.0018462260905529116,0.10886744825588326,0.09422097987442159,0.28848699731700916,5.920366666278526e-07,0.193751613806801,0.1032378062359114,0.3517912229388645,0.00834414206654068,1.7239392636556157,60000,122.41929697990417,732.7148337364197
50,0.07640428368935642,0.54,0.6666666666666666,0.5319148936170213,3,47,0.07640428368935642,0.07345326131408383,0.363588577545289,0.008464516077408562,0.11604916595601898,0.11509965883088892,0.4365905634151762,0.003219446607377964,0.12348493800302944,0.09145908887958341,0.3123569565415322,5.841818982497477e-07,0.18841711728900798,0.08818030389039268,0.3662824869078168,0.0136059741263231,1.7320167736470888,70000,122.8895914554596,855.6044297218323
50,0.09687451168199407,0.4,1.0,0.3877551020408163,1,49,0.09687451168199407,0.0885988037786199,0.33996651781764003,0.011678449172886702,0.11034043334014443,0.0871648717632866,0.3598450925278868,0.0017315358395555828,0.10995209207460825,0.08987096032938527,0.32308379465475273,5.536047295588551e-07,0.2070948902748822,0.09823868964412635,0.35280727825908803,0.0034378859941586017,1.7046029769979498,80000,122.59922456741333,978.20365858078
50,0.0772128894767062,0.42,0.75,0.391304347826087,4,46,0.0772128894767062,0.06513258859947321,0.2884686069320128,0.003984360700814988,0.08632515072112062,0.06605324782177265,0.28909984484589063,0.002684445709852866,0.13119169429497748,0.07737606108671514,0.2713055240928192,5.514958313522482e-07,0.1988149278780544,0.09287673759632739,0.3458618449217235,0.021953807124096354,1.6821981616927912,90000,123.34894061088562,1101.5526032447815
