Eval num episodes,Eval avg final dist,Eval success ratio,Eval success ratio_left,Eval success ratio_right,Eval n_left,Eval n_right,Eval final puck distance Mean,Eval final puck distance Std,Eval final puck distance Max,Eval final puck distance Min,Eval final endeff distance Mean,Eval final endeff distance Std,Eval final endeff distance Max,Eval final endeff distance Min,Eval puck movement Mean,Eval puck movement Std,Eval puck movement Max,Eval puck movement Min,Eval endeff movement Mean,Eval endeff movement Std,Eval endeff movement Max,Eval endeff movement Min,policy loss,timesteps,epoch time (s),total time (s)
50,0.1589739329469028,0.1,0.12,0.08,25,25,0.1589739329469028,0.09276395983450109,0.3350034180335256,0.022684709319596423,0.22573898850928623,0.10546212845437888,0.42542969229893,0.015275191412985277,0.00871195061180647,0.01807149996451483,0.07438413500570705,2.090477933405043e-08,0.18600977338079935,0.006465150169730662,0.194412287966563,0.17217611179928183,0,0,7.355383396148682,7.355386972427368
50,0.14774130349049056,0.08,0.12,0.04,25,25,0.14774130349049056,0.0830363737346731,0.33136214240031064,0.0029866850648684997,0.11626717214842013,0.1147371567347724,0.4048958430154975,0.005054693970421956,0.07675321211077944,0.06119459003894689,0.19565473046221435,1.085869815313304e-06,0.19222113495060072,0.10445923571811783,0.3912536060728815,0.0006217018102699144,2.1193102163625577,10000,148.5833170413971,155.9387080669403
50,0.0970723168626453,0.32,0.22727272727272727,0.39285714285714285,22,28,0.0970723168626453,0.07879843730897443,0.3457900211131037,0.013294196150731194,0.07655845131129861,0.07843138400243195,0.35631747325685315,0.007459065238192902,0.11950938482847358,0.08557294901561176,0.2987325731602633,9.629024952828656e-07,0.2094521779749196,0.09430659639178375,0.38542852521055404,0.0005436636531087592,2.0088467301723365,20000,161.58979749679565,317.5285096168518
50,0.05948004952831702,0.52,0.4230769230769231,0.625,26,24,0.05948004952831702,0.0486821760342765,0.30293358452125513,0.0055084926086915375,0.0790591952128937,0.09471392564131637,0.37974034354239966,0.0006878433444231278,0.13834665747192612,0.07471561881051962,0.2672698133425839,9.970732897308458e-07,0.22103851365344174,0.07658379856061195,0.3746362451038106,0.0004340564209951365,1.973173171885066,30000,160.77866625785828,478.30718064308167
50,0.06917334140672304,0.54,0.6842105263157895,0.45161290322580644,19,31,0.06917334140672304,0.058060400822908205,0.30850331763939276,0.009438655738195,0.11108645631614175,0.12004316149172573,0.3758380616364434,0.0014179311668385418,0.11784564486454752,0.09116802016750931,0.29615547059011543,7.584814690145125e-07,0.18915178492141346,0.11049657939432475,0.38778836189249927,4.109603096183348e-09,1.9113118823726,40000,164.30651926994324,642.6137044429779
50,0.07989990706169642,0.48,0.5714285714285714,0.36363636363636365,28,22,0.07989990706169642,0.07358595696872766,0.3140893693849579,0.006033355656278443,0.10546182878792325,0.11288785694565369,0.38156109690121104,0.0038694712299230916,0.11692237100319108,0.08935387711906424,0.29706473823388774,1.0560340622371735e-06,0.1840313334794794,0.1132968626897515,0.38880798148597573,6.618893136925389e-10,1.921333186287538,50000,163.19949626922607,805.8132045269012
50,0.07548732041410369,0.58,0.5416666666666666,0.6153846153846154,24,26,0.07548732041410369,0.07321150858778891,0.2923917012062754,0.006515243992096587,0.12701178440990982,0.1192176995809511,0.38706020028739824,0.0019815794740752034,0.12145673027373517,0.10940074692896666,0.36581642742622905,9.218288715584732e-07,0.19252078759101887,0.1140373111811243,0.38601160309334737,9.177369342359948e-10,1.890981927785641,60000,149.9679777622223,955.7811870574951
50,0.06182176196424256,0.62,0.5769230769230769,0.6666666666666666,26,24,0.06182176196424256,0.05780261768783003,0.2714951689851308,0.006062954722239791,0.08766292254377919,0.10738133064027,0.3966649110947046,0.0015976769960698164,0.13841833338941126,0.08781207455949532,0.3393795852414019,7.447304081825438e-07,0.2224528396730334,0.09346570216654822,0.38639609564487076,0.0004942266353886658,1.8808885437066838,70000,142.89904046058655,1098.6802325248718
50,0.06823798492032043,0.48,0.5238095238095238,0.4482758620689655,21,29,0.06823798492032043,0.05885746299754773,0.27752045358455707,0.003797843980435096,0.09283747160914366,0.10738098057611276,0.36550253712868325,0.0025114405333344463,0.12382269706084786,0.09297380939985463,0.3088216615738347,4.949537480508012e-07,0.20676405452742244,0.11529076019967825,0.3886442183929836,0.0005424369048732779,1.8680437588323942,80000,143.80063843727112,1242.4808750152588
50,0.0607812110806036,0.54,0.6666666666666666,0.4482758620689655,21,29,0.0607812110806036,0.05376706690070588,0.24090150014358538,0.0023644932192162945,0.09645833988826118,0.10845923769496184,0.3875045889057319,0.0019166374754165075,0.13643465693959383,0.09689401618465221,0.3081710498049264,7.072997906260927e-07,0.19755958760277056,0.11319458191198296,0.3891154478657512,5.234573032259591e-09,1.849383171311046,90000,143.3549256324768,1385.8358047008514
50,0.07204300450718816,0.6,0.52,0.68,25,25,0.07204300450718816,0.08054109022186094,0.3347989505265313,0.000849354279188336,0.07967061008461845,0.09233366141804777,0.346393008502505,0.0029184504264211414,0.14401021821603172,0.08383805637667498,0.3257969707293208,1.3112880130874113e-06,0.21940945211104645,0.10011049388933223,0.3871549708426685,0.0005167471529616329,1.8260435321942956,100000,142.8855264186859,1528.7213356494904
50,0.07009981625757943,0.54,0.5333333333333333,0.55,30,20,0.07009981625757943,0.06182776568442392,0.22773003698181152,0.0018636024816243097,0.08939199352777175,0.09898748342674538,0.3476438968865698,0.002124818297498958,0.13137412629008896,0.09083591211926015,0.3018856642649491,7.025157224144933e-07,0.2026105505385452,0.10566413335629703,0.3752322698734806,9.505637462813277e-10,1.828853147305745,110000,143.44624209403992,1672.167581319809
50,0.07607316260862645,0.56,0.6774193548387096,0.3684210526315789,31,19,0.07607316260862645,0.07418182290604519,0.2764899833118004,0.0020257500344754704,0.09570920381051978,0.10318099947498242,0.36504226941078954,0.0015219273658832956,0.13168575778787622,0.1013663463562612,0.32283589085596487,8.601978440852929e-07,0.19367264048251598,0.1092106018937021,0.38558262667671817,0.0005472202043137109,1.8085218087975639,120000,144.23598623275757,1816.4035737514496
50,0.07796470522659991,0.58,0.625,0.5384615384615384,24,26,0.07796470522659991,0.08546329602847938,0.3666892977413552,0.0034687291145284634,0.09409230549747809,0.10257911738746196,0.33747471283190217,0.002752899678142109,0.11784271168321583,0.09707001390699185,0.3143643271543619,1.1182071203066777e-06,0.20361592888706162,0.1101973581557039,0.37221517912986085,5.297766033602834e-10,1.824063644960138,130000,143.22820043563843,1959.6317813396454
50,0.06767456655652623,0.62,0.6666666666666666,0.5652173913043478,27,23,0.06767456655652623,0.06744369440171015,0.2594882417564171,0.0053200099696299845,0.11410451568641942,0.1311908446163694,0.42635366642563305,0.0016983727747545791,0.1109051472008891,0.09274831705225217,0.31578296353466084,1.1149958973353094e-06,0.15860551505607753,0.11036352570009055,0.3695317212756189,7.430708691094047e-10,1.779049421783865,140000,143.71920609474182,2103.350991487503
50,0.0692345100521849,0.56,0.6086956521739131,0.5185185185185185,23,27,0.0692345100521849,0.0723560643908508,0.2756968887360072,0.0018522930536548424,0.11756385665302202,0.11553293381733286,0.37909197209909495,0.00289534240083789,0.1218411430767762,0.0956189311126301,0.29902402116054616,7.878970998758223e-07,0.18881534434940228,0.11781935216046872,0.38067120071265786,0.00035058850919283176,1.786211767406376,150000,143.23667883872986,2246.587682723999
