Eval num episodes,Eval avg final dist,Eval success ratio,Eval final door distance Mean,Eval final door distance Std,Eval final door distance Max,Eval final door distance Min,Eval min door distance Mean,Eval min door distance Std,Eval min door distance Max,Eval min door distance Min,policy loss,timesteps,epoch time (s),total time (s),Conditional loss,Marginal loss,Validation loss,Conditional Validation loss,Marginal Validation loss
50,0.3623388185925954,0.08,0.3623388185925954,0.24055067305241365,0.7840751853842322,0.003897245160390821,0.3623388185925954,0.24055067305241365,0.7840751853842322,0.003897245160390821,0,0,7.894918441772461,7.894925355911255,0,0,0,0,0
50,0.22419879108339621,0.18,0.22419879108339621,0.15199804470839443,0.5668198677099517,0.011304537826203165,0.0867761730306558,0.08616633231184075,0.3071798526126713,0.0006058550964804787,6.489976587702618,3.2394478340819846,3.2505288128842444,6.6746692986075855,3.334584066091316,3.3400852406577677,10000,162.06675243377686,169.96168422698975
50,0.1787286995797723,0.38,0.1787286995797723,0.16781787473468857,0.514976335317082,0.0010240763119161104,0.1064015914182075,0.16565775198954738,0.5147525220367484,0.0006276354023497521,6.333335763587717,3.155072597724133,3.1782631473060188,6.544376784113898,3.27325678311629,3.271120040932424,20000,179.07235288619995,349.0340437889099
50,0.2652389126904176,0.34,0.2652389126904176,0.244484947180442,0.8122417474843326,0.005590457966423212,0.15442779832515555,0.2504338572584506,0.8122417474843326,1.9723596359488837e-05,6.230958036573917,3.1008057676557765,3.130152350887004,6.473389285538085,3.2334055536499573,3.2399837591642076,30000,188.71627163887024,537.7503197193146
50,0.25065821175171676,0.22,0.25065821175171676,0.23256150753298319,0.7192199570671794,0.007054054025054254,0.17797028441728188,0.2024611558741139,0.6412468589207782,0.0045336314845365044,6.198721539928337,3.085378116185473,3.1133433445616565,6.403853756271286,3.1979881514806765,3.20586565545938,40000,189.63015031814575,727.380473613739
50,0.14979020086162864,0.38,0.14979020086162864,0.19363693403192805,0.6853630031956306,0.0034754979737601777,0.09908949718989932,0.1578340900506036,0.5488283327770547,3.1937524766600944e-05,6.184988013663363,3.083221835213212,3.101766248648061,6.326034149800734,3.1539033262351057,3.1721308491788465,50000,183.97327136993408,911.3537511825562
50,0.09752703706903025,0.4,0.09752703706903025,0.13214206592640398,0.8032477829612604,0.0015058412654139763,0.05029167156066609,0.13224778241114413,0.7850106086626427,0.00022159312652791918,6.111826857670395,3.0393433178364533,3.0724836859420828,6.277032727365205,3.1311486110193885,3.1458840148503344,60000,183.93660712242126,1095.290361881256
50,0.0919859189378022,0.6,0.0919859189378022,0.11671456908729919,0.44186554249943777,0.0007179695353559945,0.07228177751901708,0.116004366255237,0.39736855811330946,9.348767567132765e-05,6.094089023943646,3.0352563671818715,3.0588326434984685,6.22422403366761,3.102793184397951,3.1214308034244573,70000,183.69718527793884,1278.9875507354736
50,0.0806316761274527,0.6,0.0806316761274527,0.10067489361820688,0.4591833081160359,0.001534735537815024,0.018933258188195433,0.06405650831067064,0.4591828736311736,2.1331530685342326e-05,6.060841373096043,3.015386237555354,3.04545512561329,6.216590413368028,3.096857000904959,3.1197333575416195,80000,184.18439722061157,1463.1719543933868
50,0.10786566411891849,0.62,0.10786566411891849,0.1332608323856362,0.4801519237879018,0.0017026351963381758,0.011223229257198208,0.010443961208067242,0.05497832750807519,0.00018646147486930942,6.029157824912689,3.0022533214171863,3.0269044613623226,6.200848850650126,3.0940757854346983,3.1067732239325894,90000,183.80705904960632,1646.979017496109
50,0.17799075992148453,0.44,0.17799075992148453,0.19435467395464584,0.6974842530748395,0.004860406966966352,0.1371675847053588,0.19248826463447624,0.5817933711992022,4.8328982241219176e-05,6.077352141186055,3.0229970050714385,3.0543551459044758,6.122129516030549,3.0494007877359097,3.072728710725402,100000,183.66856169700623,1830.6475830078125
50,0.09007555355048723,0.54,0.09007555355048723,0.11876052087089513,0.5143574071363708,0.0027348609709189936,0.04306364264039439,0.11115417412598978,0.4893185865037897,2.5955363496574235e-05,5.973294340528742,2.9728428934119804,3.0004514797282438,6.136199814066966,3.058897896567275,3.0773019734527893,110000,182.16608428955078,2012.813672542572
