Eval num episodes,Eval avg final dist,Eval success ratio,Eval success ratio_left,Eval success ratio_right,Eval n_left,Eval n_right,Eval final door distance Mean,Eval final door distance Std,Eval final door distance Max,Eval final door distance Min,Eval min door distance Mean,Eval min door distance Std,Eval min door distance Max,Eval min door distance Min,policy loss,timesteps,epoch time (s),total time (s),Conditional loss,Marginal loss,Validation loss,Conditional Validation loss,Marginal Validation loss
50,0.3623388185925954,0.08,nan,0.08,0,50,0.3623388185925954,0.24055067305241365,0.7840751853842322,0.003897245160390821,0.3623388185925954,0.24055067305241365,0.7840751853842322,0.003897245160390821,0,0,7.8071815967559814,7.807184934616089,0,0,0,0,0
50,0.3476053678471338,0.2,nan,0.2,0,50,0.3476053678471338,0.2718604353419932,0.8235055164815022,0.00011059540410857799,0.2923908647802675,0.31203752421503866,0.8213017192503808,2.4675268639251513e-05,6.529338979573893,3.256138710428317,3.2732000678352673,6.677924986931908,3.3407012913892675,3.3372236769433066,10000,181.81310057640076,189.62029147148132
50,0.3715346013383226,0.12,nan,0.12,0,50,0.3715346013383226,0.255378120706339,0.8253807374152282,0.005169146594195179,0.34447537199303896,0.26746229059484095,0.7333166522899418,0.00010201880339329172,6.472267600399698,3.2185029193755024,3.2537647052944996,6.614396090702429,3.304320122970471,3.3100759615145043,20000,195.839280128479,385.4595754146576
50,0.1126431537459254,0.52,nan,0.52,0,50,0.1126431537459254,0.14274316525081918,0.5711008553040978,0.0025177406099295974,0.005345935124943455,0.004728632776598455,0.01906454626327414,0.00020735953009298758,6.452106043365363,3.2123175531057666,3.23978853923439,6.565418090314193,3.278675221588864,3.2867427987312956,30000,197.6396405696869,583.0992200374603
50,0.12059931709738975,0.58,nan,0.58,0,50,0.12059931709738975,0.17607719045518888,0.7252546147262947,0.00023380822891847647,0.03581147302100913,0.10434515774145132,0.5322071804851437,2.99522562303145e-05,6.461284864024302,3.2155556316584955,3.245729237608306,6.549643640222008,3.2684840677753844,3.281159542655157,40000,196.02723836898804,779.1264634132385
50,0.1775953920311619,0.36,nan,0.36,0,50,0.1775953920311619,0.22147033828206958,0.7136504549201389,0.0030805608963057063,0.09801562311719456,0.16913821096094814,0.5328795367949218,5.059799669315801e-05,6.436729678427217,3.2031551607772757,3.233574604990025,6.54642466765579,3.265714423084324,3.2807102483677397,50000,193.7419891357422,972.8684568405151
50,0.2798834316801355,0.5,nan,0.5,0,50,0.2798834316801355,0.2943008360198867,0.7454462628872275,0.0026760959783364846,0.26189867446174964,0.3007627938770273,0.7449352989937055,9.022483540339216e-05,6.455959099722239,3.2125270444163543,3.243432085055147,6.541914936902623,3.2626515709227952,3.2792633216497586,60000,200.34114360809326,1173.2096045017242
50,0.06505114004649078,0.74,nan,0.74,0,50,0.06505114004649078,0.1280111432363679,0.6215041023630028,0.00023121776202073008,0.008254687106119402,0.008794198088764943,0.031581501909227594,0.0001095140964525454,6.425833626771022,3.1946359317603292,3.2311977766953754,6.527469691176468,3.2499710965049298,3.2774986066453193,70000,196.21659421920776,1369.4262034893036
50,0.058226813745113175,0.82,nan,0.82,0,50,0.058226813745113175,0.12590764884752706,0.6644641799314271,0.0020862027338530154,0.0355467256875258,0.12600033996526191,0.6644641799314271,6.062486347713225e-06,6.448927763975318,3.2093940326596315,3.239533756204802,6.547424930793569,3.270796112358641,3.2766288076165386,80000,203.84166145324707,1573.2678689956665
50,0.03056389563600545,0.84,nan,0.84,0,50,0.03056389563600545,0.04129269815247286,0.2577639430697011,0.0037298200740356613,0.005541163572493782,0.005669368294900074,0.025185220114249285,3.3194788675583453e-06,6.4456238427214805,3.2073851538374534,3.2382386747848675,6.5238944804200765,3.248273920149736,3.2756204594068126,90000,204.7975881099701,1778.0654623508453
50,0.1033790594735486,0.48,nan,0.48,0,50,0.1033790594735486,0.14934404369270943,0.5693274541457255,0.0005721939376148732,0.054615655611910785,0.14714961881856037,0.5653222073191221,0.00031076708996768954,6.457189332378752,3.211866253097213,3.245323067266182,6.529840857854324,3.2532403110939727,3.276600592035071,100000,199.6299695968628,1977.6954367160797
50,0.036460194768087956,0.76,nan,0.76,0,50,0.036460194768087956,0.035096624938660316,0.19996009124174813,0.0005993551690742782,0.005649045343334955,0.0050194636161567845,0.0209140021411671,3.47298092995274e-05,6.471318743747107,3.2197218687082034,3.251596949433604,6.551757983537188,3.2667597857418675,3.284998329453576,110000,201.06830477714539,2178.763745546341
50,0.07197268967962192,0.92,nan,0.92,0,50,0.07197268967962192,0.16690953294710825,0.7770351548943907,0.0016749699371209625,0.05843196507421815,0.16986574949573857,0.7728193090125205,7.554719928891396e-05,6.453475825453036,3.2105334309890132,3.242942357794637,6.517514617395712,3.2449348420745854,3.2725798318481654,120000,195.6267216205597,2374.3904716968536
50,0.026556220487574476,0.86,nan,0.86,0,50,0.026556220487574476,0.020268760885906376,0.09075176996923137,0.0009962410135314625,0.006524216309622183,0.005436402724353454,0.02053689375556733,5.835553617661304e-06,6.459811729007717,3.212837176243739,3.2469744532891247,6.506264861661165,3.242726553756923,3.263538326341504,130000,202.8954918384552,2577.2859675884247
50,0.10095543274572259,0.56,nan,0.56,0,50,0.10095543274572259,0.15879291390484712,0.5947937506695322,0.0010781173365913,0.04001168275575397,0.10316240954276416,0.40346435340127834,8.181019316447213e-06,6.461318681744771,3.211063642396233,3.250254986071167,6.552332455512119,3.2703010268484594,3.2820313993844414,140000,197.09717965126038,2774.3831515312195
