Eval num episodes,Eval avg final dist,Eval success ratio,Eval success ratio_left,Eval success ratio_right,Eval n_left,Eval n_right,Eval final door distance Mean,Eval final door distance Std,Eval final door distance Max,Eval final door distance Min,Eval min door distance Mean,Eval min door distance Std,Eval min door distance Max,Eval min door distance Min,policy loss,timesteps,epoch time (s),total time (s)
50,0.36239912999886953,0.08,nan,nan,0,0,0.36239912999886953,0.24046257271976854,0.7840751853842322,0.005405030317243916,0.3623109777933382,0.24059145323454395,0.7840751853842322,0.003201222997762718,0,0,7.2313783168792725,7.231382608413696
50,0.13617413706413603,0.3,nan,0.3,0,50,0.13617413706413603,0.1193768254611745,0.41340438577086397,0.0009473002396973018,0.09931847700982627,0.08864894446638122,0.300893790120362,0.0009369862540142548,3.239673118428337,10000,103.9873161315918,111.2187032699585
50,0.2048673818599854,0.32,0.32,nan,50,0,0.2048673818599854,0.22235811379909778,0.8007695724175504,0.005435902605058385,0.04931111388872062,0.07787171244544838,0.36373779050234456,0.00011331616782428444,3.1011472829970015,20000,108.23664331436157,219.45535016059875
50,0.21773445296830968,0.26,0.26,nan,50,0,0.21773445296830968,0.1642565521794103,0.5582525558425144,0.002123078337517126,0.1117192726211587,0.1533315527133987,0.42989724795480705,0.00016954155111598146,3.0258586637185454,30000,112.22495675086975,331.6803114414215
50,0.12705402659966122,0.32,0.32,nan,50,0,0.12705402659966122,0.1411701786825428,0.5814193257637279,0.0010550093299647179,0.05118223817368115,0.04793524243604589,0.1975851323832467,0.0005859094315746605,2.9831861353453104,40000,110.77927780151367,442.4600045681
50,0.07484340554542525,0.36,0.36,nan,50,0,0.07484340554542525,0.056326571023346136,0.22301439723105376,0.0012632456134380465,0.05884448614775104,0.05782369593897193,0.22301429773652892,0.0012632456134380465,2.9310532667692444,50000,111.4563045501709,553.9163150787354
50,0.09077892889454303,0.48,0.48,nan,50,0,0.09077892889454303,0.08999193727112645,0.40847885762146896,0.0001270498968899414,0.01873017394144614,0.019041204246681504,0.0831055597418347,1.4944488371082532e-05,2.9569007957057996,60000,112.1012806892395,666.0176002979279
50,0.17339728927365097,0.14,nan,0.14,0,50,0.17339728927365097,0.12982149442198207,0.5724337487412103,0.002133051512288986,0.05013542210564952,0.05222929301068166,0.1718108039595332,0.0004707908849002629,2.926945503992521,70000,108.90445590019226,774.9220604896545
50,0.13710692767138882,0.32,0.32,nan,50,0,0.13710692767138882,0.14231137798469154,0.5450605457248405,2.7319970525074844e-05,0.011403299840182854,0.01130374981135678,0.04686727311571681,2.2406633549021393e-05,2.908933228558179,80000,109.21842622756958,884.1404905319214
50,0.11646462991161757,0.36,0.36,nan,50,0,0.11646462991161757,0.10553179302640062,0.3796463075555728,0.0016423410315415943,0.018958542220675504,0.018936026592551985,0.06828338801598599,1.2166745785302524e-06,2.8829854035866096,90000,108.07973289489746,992.2202272415161
50,0.08306763075735393,0.5,0.5,nan,50,0,0.08306763075735393,0.08402947281139841,0.3232012675493973,0.0064635053542989596,0.029682285929770645,0.028264811942579366,0.1180092574159688,0.0008126659282232107,2.8812712768240942,100000,115.77910828590393,1107.9993398189545
