Eval num episodes,Eval avg final dist,Eval success ratio,Eval success ratio_left,Eval success ratio_right,Eval n_left,Eval n_right,Eval final puck distance Mean,Eval final puck distance Std,Eval final puck distance Max,Eval final puck distance Min,Eval final endeff distance Mean,Eval final endeff distance Std,Eval final endeff distance Max,Eval final endeff distance Min,Eval puck movement Mean,Eval puck movement Std,Eval puck movement Max,Eval puck movement Min,Eval endeff movement Mean,Eval endeff movement Std,Eval endeff movement Max,Eval endeff movement Min,policy loss,timesteps,epoch time (s),total time (s),Conditional loss,Marginal loss,Validation loss,Conditional Validation loss,Marginal Validation loss
50,0.1589739329469028,0.1,0.25,0.08695652173913043,4,46,0.1589739329469028,0.09276395983450109,0.3350034180335256,0.022684709319596423,0.22573898850928623,0.10546212845437888,0.42542969229893,0.015275191412985277,0.00871195061180647,0.01807149996451483,0.07438413500570705,2.090477933405043e-08,0.18600977338079935,0.006465150169730662,0.194412287966563,0.17217611179928183,0,0,6.539257049560547,6.5392608642578125,0,0,0,0,0
50,0.12516729876457458,0.18,0.5,0.16666666666666666,2,48,0.12516729876457458,0.07506149314544637,0.3010852034855927,0.026835805501457005,0.1145263628102014,0.11941262899113833,0.4003828980008356,0.005326208706889463,0.047703683365727015,0.05909443261693605,0.19445624594721264,9.480656369251163e-07,0.19379936808061868,0.13513556982601516,0.3864915019516374,9.104513172475658e-10,4.301916426530655,2.115027396080117,2.186888928188516,4.374792134267219,2.1601774324731498,2.2146146911845244,10000,246.68125915527344,253.22052574157715
50,0.111219033695056,0.26,1.0,0.24489795918367346,1,49,0.111219033695056,0.07489245741700135,0.2725931139580063,0.011204226707591766,0.07637301704706512,0.07053582089381769,0.3119299785582757,0.004049847910364743,0.09585105243052862,0.06961824486326895,0.2901588607611779,1.1724840779057261e-06,0.16871464714177414,0.09445969660765755,0.37750767620628806,0.008325391462361779,4.240127288369182,2.0636347291960706,2.1764925107957533,4.298884066849454,2.100616726032174,2.1982673283424345,20000,264.54466915130615,517.7651989459991
50,0.11294043748413003,0.24,0.3333333333333333,0.23404255319148937,3,47,0.11294043748413003,0.07096237717497553,0.26898509143957927,0.012843321210124596,0.0876636732413606,0.06906367865012841,0.24089359254622242,0.006775363694725492,0.09073829427360681,0.07859173921205552,0.32391960743543324,8.267718836625224e-07,0.1736772874870808,0.10251144378858505,0.37635031645828815,0.014574152119897349,4.214659810413199,2.0438868863773383,2.1707729128282223,4.250019593135733,2.060478270338254,2.1895412935019474,30000,262.2960362434387,780.061238527298
50,0.12852098894810915,0.28,0.5,0.2708333333333333,2,48,0.12852098894810915,0.08703788396416377,0.34119641212982504,0.0163611823914779,0.08951205190122889,0.07928844156014564,0.3047630732542032,0.004470618534681022,0.0810149947501889,0.08710977556532846,0.3027520741302022,1.028141013296271e-06,0.15284864776900509,0.12309464781133735,0.36541090598222725,1.2103684440825436e-09,4.194972141508844,2.0249634293565113,2.1700086754772387,4.259182951557154,2.0694722071602434,2.189710654168493,40000,262.4056861400604,1042.4669287204742
50,0.14222453923780357,0.2,0.5,0.17391304347826086,4,46,0.14222453923780357,0.10482606906301642,0.3894457682273527,0.023564047480782217,0.07768074488118015,0.05974532574069975,0.23663276572253283,0.008908267614795112,0.08889144839366839,0.08657288657491606,0.2932836654291467,2.980340842477176e-07,0.16244281683544995,0.1208267849965154,0.3936072720291733,4.971405309675949e-09,4.186280767964604,2.0188151902779667,2.167465583818133,4.2157894176663815,2.038696549950894,2.1770928765996147,50000,261.9915781021118,1304.4585106372833
50,0.1077205749752807,0.28,0.3333333333333333,0.2765957446808511,3,47,0.1077205749752807,0.08826452280540685,0.33857775931167555,0.002997375752164869,0.10245428829016856,0.07154260446724944,0.2456108381944512,0.0066248359632671595,0.07562291944333151,0.07217386216735074,0.29034918500952606,8.42630787014535e-07,0.1750358962759275,0.10628535363281438,0.37296282604996017,0.0005728979647981235,4.186287660023547,2.0200572342016563,2.1662304313664245,4.236424020447127,2.045227340189741,2.1911966942395673,60000,262.4911870956421,1566.9497015476227
50,0.140129257360711,0.22,0.5,0.20833333333333334,2,48,0.140129257360711,0.09345967249970628,0.32861469838495927,0.008822647079716237,0.09103826907279677,0.07745654971821937,0.32302549462554153,0.001407919118743638,0.06657193063040634,0.07425806461115629,0.31746866072218854,1.0501437303161554e-06,0.15515394378772632,0.11265849287632924,0.37781696724923663,1.4759738874269588e-10,4.159293231160811,1.9998757245972092,2.1594174429026074,4.215861983227854,2.0328942169323865,2.182967761985891,70000,262.96080899238586,1829.9105150699615
50,0.09586669158097846,0.48,1.0,0.44680851063829785,3,47,0.09586669158097846,0.09657652527021074,0.348219883527014,0.0030120244450604714,0.07460816667831667,0.07666652358850246,0.29234142628628296,0.002883532157758845,0.11386605200958021,0.09194449147488695,0.3061018374716756,9.151521759339891e-07,0.17549993845419984,0.09065469793004323,0.3639867816169067,0.004258514133661494,4.149682021006387,1.9910986694907533,2.158583344271899,4.2126722493851805,2.0346514711126753,2.1780207370941436,80000,264.6407926082611,2094.5513117313385
50,0.13273564019097792,0.34,0.5,0.3181818181818182,6,44,0.13273564019097792,0.11474457052611528,0.38718903834455926,0.00539996004989369,0.06284622583235816,0.05961708397357798,0.2194171091507808,0.0029966569058327407,0.10674451477991596,0.07986798299978862,0.2942311055997119,1.0008370003489034e-06,0.18747775148798643,0.10044465360501485,0.3726273734311975,0.019677158367386437,4.160491863319188,2.0006683881185063,2.15982344052179,4.205745633240196,2.025982628126974,2.179763070135656,90000,265.14057207107544,2359.69188785553
