Eval num episodes,Eval avg final dist,Eval success ratio,Eval mean final l2 dist,Eval median final l2 dist,Eval mean final landed,Eval mean any landed,Eval average final y,policy loss,timesteps,epoch time (s),total time (s),Conditional loss,Marginal loss,Validation loss,Conditional Validation loss,Marginal Validation loss
50,0.10758670518888025,0.76,0.10758670518888025,0.0491447308495815,0.1,0.46,0.03448673,1.8003042118091106,0.8206186190151389,0.9796855999225061,2.026477490170249,0.9201617736918729,1.1063157381969544,70000,34.10145878791809,1163.2654893398285
50,0.11201616041172573,0.64,0.11201616041172573,0.06274542787435643,0.22,0.42,0.024316354,1.810819703005719,0.8245765974233585,0.9862431074147787,2.0245343096901194,0.9267474687025224,1.0977868176877967,72000,33.2468466758728,1196.5123417377472
50,0.14367168835885147,0.62,0.14367168835885147,0.06904329768290884,0.24,0.46,0.039017487,1.8148456530406938,0.8277235642435784,0.9871220849741215,2.012220137282377,0.9062991337012426,1.10592102684856,74000,33.922072410583496,1230.4344189167023
50,0.14464893569398654,0.5,0.14464893569398654,0.08026785555108484,0.18,0.46,0.043002557,1.816684229412456,0.8392998510157001,0.9773843526807028,2.0767928112640033,0.9359352890061794,1.1408575254970834,76000,33.70736312866211,1264.1417872905731
50,0.09928728089471316,0.68,0.09928728089471316,0.05551368136511993,0.22,0.38,0.0017550465,1.7889218556890474,0.8158260016036902,0.9730958534059095,2.0063713819848603,0.891845834881166,1.114525546653476,78000,32.21620798110962,1296.3580009937286
50,0.17803857892433317,0.48,0.17803857892433317,0.08448695381155567,0.2,0.5,0.09080147,1.7977105782268143,0.8173333290409557,0.9803772496537444,2.0016712600519195,0.8996131841300425,1.1020580721757582,80000,33.90317726135254,1330.2611846923828
50,0.09184330179469302,0.76,0.09184330179469302,0.04723935274122365,0.32,0.48,0.021779016,1.8113076437124584,0.8234870900509837,0.9878205497826423,1.9936695352388243,0.8980973339525432,1.095572234215519,82000,32.97230839729309,1363.233498096466
50,0.10952163277861442,0.68,0.10952163277861442,0.05489904302347315,0.16,0.42,0.029220706,1.7721338441776093,0.8134823840903953,0.9586514467207689,1.9725616518401863,0.8956886148052692,1.0768730342986628,84000,33.99746775627136,1397.230970621109
50,0.1365252781265064,0.68,0.1365252781265064,0.04876776565042529,0.12,0.34,0.072600335,1.815481174497232,0.823541002396272,0.9919401673152226,2.009080223398104,0.9116516121132621,1.0974286279473988,86000,34.392918825149536,1431.6238949298859
50,0.15852494660900965,0.58,0.15852494660900965,0.06722177897165618,0.4,0.5,0.02951599,1.7383453445966472,0.7857924725271216,0.9525528893433739,2.0053175134905077,0.893887551871311,1.1114299514611143,88000,33.87214183807373,1465.4960420131683
