Eval num episodes,Eval avg final dist,Eval success ratio,Eval mean final l2 dist,Eval median final l2 dist,Eval mean final landed,Eval mean any landed,Eval average final y,policy loss,timesteps,epoch time (s),total time (s),Conditional loss,Marginal loss,Validation loss,Conditional Validation loss,Marginal Validation loss
50,0.3467940546105514,0.14,0.3467940546105514,0.25515289292437976,0.56,0.7,-0.028837789,0,0,3.780226230621338,3.780229091644287,0,0,0,0,0
50,0.41706320569273997,0.1,0.41706320569273997,0.3553205836904455,0.26,0.5,0.0961667,2.5411885178317077,1.253402969440881,1.2877855574408705,2.840548903160961,1.378995518688608,1.4615534004092694,2000,21.31037950515747,25.090615034103394
50,0.2029841362793002,0.22,0.2029841362793002,0.1499847057008112,0.2,0.34,0.043310426,2.526799678021227,1.223581122189582,1.3032185790953277,2.9218529120359364,1.4383829804391959,1.4834698971171352,4000,37.331586599349976,62.42220687866211
50,0.20427076604890945,0.28,0.20427076604890945,0.20348766973701904,0.2,0.4,0.010861009,2.498819960325756,1.2165038033562563,1.2823161655073272,2.8599640819385144,1.3903067035996275,1.4696574013191732,6000,37.46413016319275,99.88634204864502
50,0.1943568713144084,0.28,0.1943568713144084,0.17802121352246664,0.18,0.4,0.09149355,2.505373145295874,1.2142965338116942,1.2910765966351627,2.8944917494983047,1.3768388271923941,1.5176529243339727,8000,37.335493326187134,137.22184014320374
50,0.1809681786874091,0.5,0.1809681786874091,0.07993630573431326,0.2,0.4,0.11349296,2.513544843689476,1.2147161695098523,1.2988286660282689,2.9117182348316764,1.390057212710354,1.5216609834258323,10000,36.9120032787323,174.1338484287262
50,0.20964738648261844,0.46,0.20964738648261844,0.0983371535057248,0.26,0.44,0.082115725,2.463756832349859,1.1803018477470095,1.283455030590075,2.8074745848333094,1.3294341468217639,1.4780404414058952,12000,36.69458484649658,210.82843828201294
50,0.13452721710144433,0.52,0.13452721710144433,0.07531903723144759,0.3,0.5,0.063228235,2.432437708091268,1.1659731875590806,1.2664645280236797,2.7095238186097825,1.277595688632905,1.431928173594904,14000,38.04840397834778,248.87684798240662
50,0.11482204391067859,0.46,0.11482204391067859,0.08938106180092065,0.06,0.32,0.0399243,2.347768319938941,1.1198468653990294,1.2279214538054515,2.6920889114329403,1.2674762167493154,1.4246126815369082,16000,36.924434423446655,285.80128717422485
50,0.14572807556241776,0.42,0.14572807556241776,0.09202657412804136,0.22,0.5,0.04426529,2.310339023905758,1.0950379073955858,1.21530111352641,2.6066700307222628,1.2179653938728767,1.388704670629373,18000,36.39239740371704,322.1936888694763
