Eval num episodes,Eval avg final dist,Eval success ratio,Eval final door distance Mean,Eval final door distance Std,Eval final door distance Max,Eval final door distance Min,Eval min door distance Mean,Eval min door distance Std,Eval min door distance Max,Eval min door distance Min,policy loss,timesteps,epoch time (s),total time (s)
50,0.36239912999886953,0.08,0.36239912999886953,0.24046257271976854,0.7840751853842322,0.005405030317243916,0.3623109777933382,0.24059145323454395,0.7840751853842322,0.003201222997762718,0,0,6.802738904953003,6.802741765975952
50,0.15354995825629514,0.42,0.15354995825629514,0.1535783314491661,0.49835442359041143,0.0005151349981313835,0.06974235040588654,0.1359053292533613,0.4926206964716617,8.8588903483372e-05,3.2399904017615686,10000,96.98357772827148,103.7863233089447
50,0.31273879249336606,0.1,0.31273879249336606,0.18306234945207273,0.67258293679361,0.0003501539859530056,0.19075880989955787,0.1754180194724562,0.4883225263741648,0.0001645834772362187,3.1148510661689075,20000,102.6366560459137,206.42298316955566
50,0.2006245538667936,0.26,0.2006245538667936,0.22332195214025025,0.830733522676089,0.0014076142829717586,0.13774476181311662,0.17045375098869944,0.6046327681806041,4.1402365662215196e-05,3.0709145165395233,30000,104.35802221298218,310.7810091972351
50,0.22899268772497527,0.16,0.22899268772497527,0.16861693987337667,0.5253706085265839,0.006738320258176805,0.13067698119644705,0.13976634967721144,0.43866969630774727,0.0001258820903722313,3.023383019677495,40000,103.30778670310974,414.08879947662354
50,0.2279792094808846,0.26,0.2279792094808846,0.20736890653601228,0.8176810233370856,0.0005637669641159748,0.07651568680695592,0.11477769847261943,0.39903110748724574,8.169459131477513e-05,3.0108146187697766,50000,103.80356931686401,517.8923723697662
50,0.29511375513072996,0.2,0.29511375513072996,0.21751208909541145,0.6118731084464925,0.0011828882516545791,0.1286378738742782,0.1846053721115532,0.49438685996997944,0.0005338909835032601,2.985396458500704,60000,103.69924926757812,621.5916256904602
50,0.3090300286577001,0.04,0.3090300286577001,0.14077898398627045,0.544127432108495,0.01756725143556094,0.19416509020314468,0.16048997698120224,0.4502235954982153,0.0016867098143864834,2.962548722152913,70000,104.24584317207336,725.8374726772308
50,0.13307509581742832,0.46,0.13307509581742832,0.1779664071699873,0.5586579097870715,0.0004478870951942146,0.017994605022880545,0.018687724697006785,0.0654930662992032,1.1995553495541822e-05,2.9659719519684815,80000,103.66235876083374,829.4998350143433
50,0.12747510897098535,0.3,0.12747510897098535,0.12699398649259067,0.4818651202383134,0.0009932031516832751,0.032787642942043504,0.03145637528122057,0.13660502643369188,7.831338759214934e-05,2.928268890752113,90000,103.18052506446838,932.6803636550903
50,0.2180557089089061,0.1,0.2180557089089061,0.18320261243445285,0.7681114131343936,0.026961559387950973,0.1163569272946471,0.19319795295582182,0.7681114131343898,0.0005040605189785552,2.9557827372215146,100000,104.33045196533203,1037.0108196735382
50,0.19925207601328157,0.18,0.19925207601328157,0.1672996111141885,0.6197479781925265,0.0022125585976859874,0.1230425813929772,0.1260687124424893,0.42045278403394454,0.001813674319884766,2.9206055138549263,110000,104.28241896629333,1141.2932422161102
50,0.32024488500753145,0.16,0.32024488500753145,0.21619203408305931,0.6125225854814019,0.002573553533352785,0.112760095063407,0.15232726684683492,0.5001601180041211,0.0016349916870170844,2.9114525075600466,120000,104.14055824279785,1245.4338047504425
50,0.21832394826694476,0.24,0.21832394826694476,0.19543343086908696,0.5852828757725792,0.0015070227626740595,0.08684353491815346,0.14630776082172212,0.45480093954988465,3.216673667080783e-05,2.9001468752047805,130000,103.997398853302,1349.4312069416046
50,0.16794025169491256,0.42,0.16794025169491256,0.18877339614776711,0.5340807356963857,0.00038876308718950245,0.07686647879835057,0.14837197946882352,0.4620044407578598,4.173370321713943e-05,2.902594499986534,140000,104.2864203453064,1453.7176313400269
50,0.08554673352383661,0.6,0.08554673352383661,0.11735412020179149,0.5720306483217703,0.0060742462847763745,0.023524548062852767,0.02360537779768658,0.09010509484064944,0.0013365782774716894,2.915004931033386,150000,103.75338649749756,1557.471021413803
50,0.11632739594388192,0.5,0.11632739594388192,0.1519952719546089,0.5283378358926378,0.0021542406522249147,0.011768135825755106,0.011203463835531516,0.038986842863397625,7.37094855784437e-05,2.9133047153609195,160000,103.88670110702515,1661.357726097107
50,0.04862727136056272,0.72,0.04862727136056272,0.08102799916478202,0.4572080623955839,0.0005473719191658732,0.007526284243223677,0.00957960830228211,0.04673688788223829,1.2579856126626598e-05,2.9172068554139186,170000,104.34932827949524,1765.707058429718
50,0.12325596024468542,0.38,0.12325596024468542,0.12359098967947742,0.47598697537362644,0.005323163880788129,0.027975175223000526,0.03970231500303995,0.1458970114138537,0.00018465187705382635,2.8950999977855814,180000,103.64802694320679,1869.3550889492035
50,0.31695294778203675,0.2,0.31695294778203675,0.24391634583992233,0.7221624795804102,0.004606893542027535,0.12510262796560262,0.1601918019884027,0.45317235055036326,0.00028109764151668104,2.8881576800199995,190000,104.22277617454529,1973.577868938446
50,0.10472187072247366,0.5,0.10472187072247366,0.1412033862942362,0.6047294774421995,0.00038005832692367125,0.03245762032959625,0.04744811276218552,0.18753998961966023,2.8104451846922007e-05,2.8634328437103522,200000,103.0331289768219,2076.6110117435455
50,0.10325778294161891,0.46,0.10325778294161891,0.10784979360829798,0.46537079342195764,0.00024210586214823415,0.04721758129134938,0.059403266923291266,0.19363103388662273,3.3734495322623737e-05,2.877284777544578,210000,105.0240170955658,2181.63503241539
