Eval num episodes,Eval avg final dist,Eval success ratio,Eval final puck distance Mean,Eval final puck distance Std,Eval final puck distance Max,Eval final puck distance Min,Eval final endeff distance Mean,Eval final endeff distance Std,Eval final endeff distance Max,Eval final endeff distance Min,Eval puck movement Mean,Eval puck movement Std,Eval puck movement Max,Eval puck movement Min,Eval endeff movement Mean,Eval endeff movement Std,Eval endeff movement Max,Eval endeff movement Min,policy loss,timesteps,epoch time (s),total time (s),Conditional loss,Marginal loss,Validation loss,Conditional Validation loss,Marginal Validation loss
50,0.1589739329469028,0.1,0.1589739329469028,0.09276395983450109,0.3350034180335256,0.022684709319596423,0.22573898850928623,0.10546212845437888,0.42542969229893,0.015275191412985277,0.00871195061180647,0.01807149996451483,0.07438413500570705,2.090477933405043e-08,0.18600977338079935,0.006465150169730662,0.194412287966563,0.17217611179928183,0,0,5.650516510009766,5.650519609451294,0,0,0,0,0
50,0.13633589650297712,0.12,0.13633589650297712,0.08413866794820272,0.30450035998592445,0.006801973583631881,0.08016970308590579,0.061782714794224314,0.22993544498173465,0.004907822525384575,0.05944891657774696,0.07095342774330193,0.23906567284152266,9.398993989927756e-07,0.24702479296807206,0.10104536853556023,0.39088138306846276,0.002056588362841812,4.31473756588678,2.1260109478692124,2.188726645453274,4.34598599705937,2.1385021334894176,2.207483954168792,10000,149.40489768981934,155.05542302131653
50,0.12610856859363268,0.22,0.12610856859363268,0.08255782446665967,0.3412461973499455,0.0030578066587297888,0.06711661975109257,0.05260031349766203,0.2793763997834016,0.005063127748236788,0.07768008097192307,0.06452602247569318,0.20361006534280152,1.2623188151143803e-06,0.20403379677549668,0.10404909302445023,0.3808591532111894,0.0016681600860685986,4.085130930004419,1.9862896932396918,2.0988411932915674,4.168960036274871,2.0273354200056066,2.1416246161339,20000,161.9444396495819,316.9998667240143
50,0.09297928573631763,0.22,0.09297928573631763,0.05905207506319154,0.2511329445062003,0.010195493837681757,0.09078038210443823,0.0820303183106183,0.31255575995434676,0.0015224639535571498,0.08979774138129225,0.09220991764281504,0.30224144465266545,1.0911911888325026e-06,0.21411158996917937,0.11417829799348087,0.37654924452976185,1.7078378920583114e-09,3.967499055609479,1.9140727559664563,2.0534263046674264,4.029705129329484,1.9469761494639302,2.0827289417078134,30000,174.33196711540222,491.3318383693695
50,0.08892743981663248,0.32,0.08892743981663248,0.06693946545680686,0.24300867572282134,0.008807842661916266,0.09855797514156725,0.10502687304926579,0.40709041565928133,0.005922743968792693,0.10911838004341,0.08973293103189404,0.3014963880559826,8.004403473939642e-07,0.19702458029097072,0.11719795944625018,0.3835738068226256,0.0005632762436798049,3.8572619227261473,1.8481441690921474,2.0091177821461823,3.964820948989789,1.906033521665595,2.05878737688685,40000,176.73729705810547,668.0691473484039
50,0.0874781334537345,0.46,0.0874781334537345,0.07832715472900377,0.3295892785848158,0.0035171263465209636,0.0940136173635445,0.0981777009979839,0.3740436790145805,0.000735924106736963,0.10807846599826475,0.08775521098819172,0.3183360023505039,9.725555904103575e-07,0.2065940984158683,0.1268884254937674,0.38186324161789775,0.0005774119459597137,3.8571319211706707,1.8517231776205154,2.0054087502746056,3.8877060222973654,1.8592587618637753,2.0284472907048645,50000,169.21745944023132,837.2866122722626
50,0.10990292230401741,0.36,0.10990292230401741,0.09198473612797427,0.35716852395768567,0.003370664368174403,0.08654170871606925,0.08657320405894074,0.31225133412966144,0.0027662347769027845,0.10547208272933992,0.09698063843398146,0.3029294990896989,6.870101132786486e-07,0.18933855240549605,0.13346540147120045,0.3804492348369546,0.006407978182459591,3.8126664020237793,1.8184269398232809,1.994239447297611,3.8591280915261903,1.8327588479510437,2.0263692205132715,60000,169.1350061893463,1006.4216220378876
50,0.09160359388313401,0.36,0.09160359388313401,0.08104660380582192,0.3944039881635611,0.00071559248815782,0.10139267183263163,0.09090900296448674,0.2958932604012154,0.005080584827796237,0.09403736694597384,0.09860527794790407,0.3578768354005994,1.1356916020365347e-06,0.19489833141503662,0.11687769159043458,0.3768087695015141,1.6863308097682275e-09,3.77537282248812,1.79087447688477,1.9844983544525405,3.8598498872015607,1.8376216017613705,2.0222282740386897,70000,169.22670984268188,1175.648336648941
50,0.10287447800568711,0.38,0.10287447800568711,0.0871120687974335,0.35738190222572724,0.006892703849374271,0.12877436169374784,0.10238056447405641,0.35154904660231234,0.00534673661112019,0.11646915853397813,0.10081429499236876,0.299307912431987,1.052043265986667e-06,0.19723899163821598,0.1261437817514078,0.3817983961782766,0.004768598760024102,3.7461038174335486,1.7742857304193382,1.9718180585068894,3.8141240980586337,1.810231154988192,2.003893003598848,80000,167.87412810325623,1343.5224690437317
50,0.09716906795176904,0.4,0.09716906795176904,0.08247541188315782,0.34525058781268825,0.003017391183453005,0.11229663000251829,0.09056056470933452,0.3602256301542879,0.003692257329478648,0.061936262499477195,0.0805064513674133,0.26549196931827423,8.15297434918715e-07,0.13672259364040182,0.10484343642653313,0.3529744685915661,3.3595776579461457e-09,3.762816771908994,1.7911213162015955,1.9716954641440494,3.830758313799063,1.8243728281994387,2.0063855033134548,90000,171.30314326286316,1514.8256170749664
