Eval num episodes,Eval avg final dist,Eval success ratio,Eval final door distance Mean,Eval final door distance Std,Eval final door distance Max,Eval final door distance Min,Eval min door distance Mean,Eval min door distance Std,Eval min door distance Max,Eval min door distance Min,policy loss,timesteps,epoch time (s),total time (s),Conditional loss,Marginal loss,Validation loss,Conditional Validation loss,Marginal Validation loss
50,0.3623388185925954,0.08,0.3623388185925954,0.24055067305241365,0.7840751853842322,0.003897245160390821,0.3623388185925954,0.24055067305241365,0.7840751853842322,0.003897245160390821,0,0,9.334867000579834,9.334874391555786,0,0,0,0,0
50,0.3541785065035339,0.24,0.3541785065035339,0.24816664208021544,0.7071000787263693,0.005721283282185574,0.336860375230815,0.263973006372755,0.7071000787263693,0.00012901437929080384,6.5199255116032795,3.253543769179193,3.2663818749750355,6.6386824632139,3.319406852254965,3.319275750754106,10000,178.0466811656952,187.3815622329712
50,0.3053585201667712,0.42,0.3053585201667712,0.2859728906117723,0.7580868245792768,0.0010240763119162821,0.2912941515040013,0.2940162589261448,0.7580868245792768,4.9307550987198745e-05,6.464590886678001,3.215295555538189,3.2492953042719535,6.598957284578965,3.2934570751409042,3.305500102620005,20000,190.5952262878418,377.97679257392883
50,0.20134529245072197,0.46,0.20134529245072197,0.233339061399309,0.768043148803417,0.0038968593161650134,0.15004283687199535,0.21069238922639358,0.5875927764904199,2.9860178140828086e-05,6.4594580677383675,3.213955041753078,3.245502999319061,6.591301540726855,3.293034912819152,3.298266668591602,30000,188.04900407791138,566.0258011817932
50,0.09861917619196042,0.7,0.09861917619196042,0.18688840023151868,0.7872410155127324,0.00045675405870337915,0.04090608313560159,0.09685770135166112,0.3416821418998706,4.080527353045316e-05,6.444076844541,3.204461273055351,3.2396155531073942,6.569002834176727,3.2780057781447844,3.290996991475998,40000,188.4176857471466,754.4434905052185
50,0.11250617365742699,0.72,0.11250617365742699,0.17687502509695402,0.5687044295794914,0.00028190078573581134,0.07396876808357458,0.1589417353526952,0.5048549191481898,8.067026467720173e-05,6.455406944599233,3.2066188254156778,3.2487881631472075,6.569971309208849,3.2780347077151117,3.2919366236240566,50000,188.68346524238586,943.126959323883
50,0.061603739895363496,0.88,0.061603739895363496,0.14198363362583624,0.5622793753230614,0.00029275813854334753,0.04987617486131382,0.14494188340922115,0.5622793753230614,2.8464457577509483e-05,6.468102154914594,3.2197367391022533,3.2483654348059456,6.542106772886539,3.2606475554244105,3.2814591540567397,60000,188.50283408164978,1131.6298186779022
50,0.08773913455505598,0.84,0.08773913455505598,0.20047773542770533,0.7747294414103724,0.0011064590183684775,0.05497963479500987,0.17736795669757732,0.7747294414103724,6.445847703540064e-05,6.460879312521495,3.212025497271818,3.248853829243117,6.5508822465850205,3.26998270950351,3.2808994657821193,70000,188.83336877822876,1320.4631938934326
50,0.04157412513867362,0.86,0.04157412513867362,0.06089979157217243,0.2855962983602249,0.0007932821174769789,0.006314346025896363,0.007122296357244551,0.023933259376112348,2.0311962640851e-05,6.451950186417102,3.2100797059583517,3.2418704588154195,6.545305881647044,3.2663958569060547,3.2789101408888817,80000,188.45689964294434,1508.9200978279114
50,0.05301588021067597,0.78,0.05301588021067597,0.07987333911728216,0.26604688071092336,6.165653191336773e-06,0.03854314719381147,0.08319574239264176,0.26604688071092336,6.165653191336773e-06,6.4623414424613745,3.2148820387135837,3.2474593616283576,6.549960491579611,3.267479714776471,3.2824807786812253,90000,188.54610538482666,1697.4662072658539
50,0.05819479660208868,0.74,0.05819479660208868,0.077791834405611,0.2981727298733566,0.00032766593450801046,0.027002155567948403,0.0728737036827374,0.2981727298733566,7.581863659678056e-06,6.459902637442717,3.2132776752144787,3.246625026487111,6.5665310212951455,3.2792451254990125,3.287285901929372,100000,188.37304139137268,1885.8392524719238
50,0.03420949940846567,0.86,0.03420949940846567,0.05126756815225124,0.3482899950443451,0.0003460557331138314,0.007848325121400164,0.011038300999716168,0.05446780481146807,4.3463391274464747e-05,6.453473956759948,3.2102572755524954,3.2432166711835198,6.529119840694934,3.254532301510665,3.27458754815144,110000,188.5636715888977,2074.402927875519
50,0.18683052744654294,0.48,0.18683052744654294,0.2746012083697161,0.8114769097763586,0.0009348616500396423,0.15839861403213154,0.26807808252764215,0.7605338896579951,9.617665537392517e-06,6.46492683806866,3.215489976108225,3.249436885114801,6.537595942669619,3.2626940927998254,3.2749018608526503,120000,188.37054872512817,2262.7734801769257
50,0.07033004829727597,0.68,0.07033004829727597,0.12901386911082396,0.57416276120529,0.004796434018809248,0.04378868962596015,0.1275747748488037,0.57416276120529,2.9599038923161514e-05,6.474321066241763,3.2231709887070483,3.251150056964939,6.542675540914513,3.26404505026787,3.2786304760055565,130000,188.52131462097168,2451.294798851013
50,0.06738310018114482,0.78,0.06738310018114482,0.14670278284787816,0.7828937660475435,0.002956429544329634,0.03618586305152736,0.150013942137833,0.7828937660475435,1.569859940298013e-05,6.475182677189485,3.2219671163631367,3.2532154227050807,6.533975994631661,3.2581116718983543,3.2758643057216292,140000,188.62993621826172,2639.924740076065
50,0.03376581002151733,0.88,0.03376581002151733,0.03977138916875265,0.18095704366728696,0.0008041486608406645,0.0189147586430553,0.04167731508079094,0.18095695714983687,1.1173540940670468e-05,6.483065935363658,3.2235759675841944,3.2594898937221517,6.555638913320148,3.269674811280187,3.2859641282372976,150000,189.18962478637695,2829.114369392395
