Eval num episodes,Eval avg final dist,Eval success ratio,Eval success ratio_left,Eval success ratio_right,Eval final puck distance Mean,Eval final puck distance Std,Eval final puck distance Max,Eval final puck distance Min,Eval final endeff distance Mean,Eval final endeff distance Std,Eval final endeff distance Max,Eval final endeff distance Min,Eval puck movement Mean,Eval puck movement Std,Eval puck movement Max,Eval puck movement Min,Eval endeff movement Mean,Eval endeff movement Std,Eval endeff movement Max,Eval endeff movement Min,policy loss,timesteps,epoch time (s),total time (s)
50,0.16931158742780433,0.06,0.07142857142857142,0.0,0.16931158742780433,0.08709703429843928,0.3306134673556922,0.024444663223486575,0.16707127911489067,0.08313134650294544,0.41922026218965575,0.015275191394165222,0.01252868609257277,0.02960310645269946,0.12323381495941003,9.656623266880562e-08,0.18454492994078955,0.007255946830574902,0.19489100520503666,0.17151013839019974,0,0,5.438239336013794,5.438241958618164
50,0.12134999159887057,0.18,0.17073170731707318,0.2222222222222222,0.12134999159887057,0.07623015258221359,0.295588031503381,0.018162839605312696,0.07765761009647014,0.05984480009683168,0.26338066899366686,0.001063689904022008,0.08620768410732921,0.07663585818907154,0.26525432822567113,9.437693903117297e-07,0.21034220987601732,0.08871972085340658,0.38610709343324146,0.043369467500127,2.1106302953086664,10000,89.01089668273926,94.44914197921753
50,0.10371671767297862,0.32,0.3170731707317073,0.3333333333333333,0.10371671767297862,0.0670524163959372,0.2656695289083079,0.018755937440329752,0.08870352464258101,0.07161797030535545,0.3143683783883846,0.004533494826115243,0.1298328088530966,0.08158682174571251,0.3125911525158649,1.5021785845777008e-06,0.21785992614694144,0.09623718468568584,0.385759923229325,0.0006397972425551039,2.0015645940728777,20000,93.94836640357971,188.39751172065735
50,0.0979811148443674,0.18,0.2,0.0,0.0979811148443674,0.06390543828862262,0.3015532471980867,0.008213545527553157,0.08333584963317513,0.08101167520607076,0.29246403077542676,0.0023904181426745194,0.10604047898983678,0.07575805497637084,0.24377001523931413,1.0962099773272339e-06,0.20590013763292034,0.08364571821735646,0.35000238012669427,0.0006575072378956999,1.9507930912865554,30000,97.0848376750946,285.4823532104492
50,0.0934697537077326,0.42,0.43243243243243246,0.38461538461538464,0.0934697537077326,0.07710790138200838,0.31703933221967495,0.0126594455895231,0.07528631790128223,0.07054787327092811,0.29545414613617216,0.010132651537557573,0.12118196597330855,0.08683468370101176,0.31864026281168545,1.4360383473803053e-06,0.23816092405938147,0.08878862709145541,0.3915774418072449,0.009372873424301958,1.905020511192443,40000,95.00453329086304,380.4868903160095
50,0.08633167649865689,0.34,0.35714285714285715,0.25,0.08633167649865689,0.06668988906573901,0.3007659688355179,0.016429493113077204,0.07871527795791869,0.08113701594899234,0.31802106178542944,0.0058655667717765906,0.13108161133392696,0.09555416114391732,0.31234786705444556,1.1302472204081513e-06,0.2054197499626596,0.09224159437433237,0.38997043615713894,0.011278597124069551,1.87970278890344,50000,95.23216032981873,475.7190544605255
50,0.09781573398870438,0.4,0.425,0.3,0.09781573398870438,0.08460080598292798,0.3532247074314356,0.005093269859401313,0.08859891850555565,0.08245447784989379,0.3566998698115949,0.003675673959247007,0.13406095086902028,0.06848167246431909,0.3128185638636322,1.5794056363848168e-06,0.1977893487885161,0.08083753996891001,0.38844433436714293,0.01997051048763565,1.8679280891105072,60000,96.70241117477417,572.4214696884155
50,0.07332331702273544,0.5,0.4883720930232558,0.5714285714285714,0.07332331702273544,0.06685426371808446,0.3033448792747957,0.004552063183339282,0.08210235596636997,0.07463375788298761,0.28611325275981503,0.0007317264808538731,0.15056414309264704,0.07145928825249567,0.2718230285276749,1.664920463323499e-06,0.19381671910306789,0.07525501592453991,0.3483456545528815,0.025824128491679157,1.858311184817231,70000,96.57483124732971,668.9963045120239
50,0.09842220946143114,0.28,0.2619047619047619,0.375,0.09842220946143114,0.08434190948107406,0.3403938644447592,0.0025269343023488476,0.10403438726731754,0.08500066241026699,0.3247567520702396,0.0052628615050446656,0.12826127259276998,0.08157350090845415,0.299787001884566,1.2464450781743383e-06,0.2063251931786828,0.07583833302969932,0.3708893413074373,0.061695721023632334,1.847173471947164,80000,96.30501461029053,765.3013229370117
50,0.08031989915557385,0.5,0.5476190476190477,0.25,0.08031989915557385,0.0697997705845104,0.287748177133193,0.0033763868609856954,0.08260081859821954,0.06782530109627928,0.2456397872863187,0.003599302769113838,0.15117665210608744,0.07482894648286811,0.33187642149472135,3.2079746797181715e-06,0.20409799521485872,0.06874743221428428,0.35659271116693636,0.07101052782667887,1.8216846912056095,90000,96.19009065628052,861.4914174079895
50,0.07297951756528562,0.48,0.53125,0.3888888888888889,0.07297951756528562,0.07412870177052815,0.32085510152794267,0.001768329878444403,0.06051681360003979,0.07444156439366478,0.3040808019120553,0.0009497488380505863,0.13490785437236386,0.07967078873573175,0.2784029798902234,1.36384114044204e-06,0.205260843687856,0.09502197492299931,0.3828881669254506,0.026164467789637567,1.8401414363092186,100000,95.95107054710388,957.4424920082092
