Eval num episodes,Eval avg final dist,Eval success ratio,Eval success ratio_left,Eval success ratio_right,Eval final door distance Mean,Eval final door distance Std,Eval final door distance Max,Eval final door distance Min,Eval min door distance Mean,Eval min door distance Std,Eval min door distance Max,Eval min door distance Min,policy loss,timesteps,epoch time (s),total time (s)
50,0.26702958697623125,0.1,0.1111111111111111,0.0,0.26702958697623125,0.16313401578840916,0.8096828328705646,0.016689262998979736,0.26702958697623125,0.16313401578840916,0.8096828328705646,0.016689262998979736,0,0,8.425570487976074,8.425572872161865
50,0.18771093534506827,0.28,0.3684210526315789,0.0,0.18771093534506827,0.19163119778794274,0.5839033919289291,0.0008706825835984311,0.03807351359912082,0.0726962097022478,0.26449570270298917,0.0001721061838528548,6.525750730749572,10000,143.19281196594238,151.61838841438293
50,0.23238744485101626,0.38,0.5135135135135135,0.0,0.23238744485101626,0.2618687375303269,0.8154130407527277,0.000104652207977729,0.21521818943008258,0.27343566138723807,0.8154130407527277,1.4942170686441103e-05,6.480765175658808,20000,155.79076099395752,307.40915298461914
50,0.08053886264039199,0.64,0.6808510638297872,0.0,0.08053886264039199,0.12424884925624079,0.6950515492574794,0.0006668327933958551,0.024021235239376146,0.09933569659493337,0.6950515492574794,7.427788466786434e-05,6.5003209354203175,30000,154.58848786354065,461.9976444244385
50,0.09379087830921913,0.64,0.6956521739130435,0.0,0.09379087830921913,0.17045991960778667,0.7714904731936576,0.001424265305927902,0.04682256637680446,0.16839890867864216,0.7714904731936576,1.8862440014755233e-05,6.471010363489812,40000,156.64914393424988,618.6467921733856
50,0.14228600552640475,0.68,0.7727272727272727,0.0,0.14228600552640475,0.23065128817509425,0.7952594011254599,0.004228376387521521,0.12102819198764962,0.23839171313462515,0.7952594011254599,0.0002809123264485014,6.484520797216722,50000,154.92529129981995,773.5720872879028
50,0.04386732382474686,0.74,0.75,0.7142857142857143,0.04386732382474686,0.040599593573321796,0.21037757224631234,0.0026742703562560033,0.010601545872150165,0.017863712127049923,0.09015132453786356,7.133462428915438e-05,6.475801799652063,60000,156.08775353431702,929.6598448753357
50,0.047461041933892174,0.7,0.7297297297297297,0.6153846153846154,0.047461041933892174,0.05202458959501952,0.2926818743345886,0.0004636294371439531,0.0058619226248898424,0.006826595582260577,0.026475698777751355,0.00012790462816118092,6.4877171991123515,70000,154.52815985679626,1084.1880083084106
50,0.03959753592318691,0.78,0.7727272727272727,0.8333333333333334,0.03959753592318691,0.07259781161339829,0.5100424547124075,0.0012894073801569816,0.005586315355811568,0.00680380780297568,0.03041474627826679,5.992523791076287e-06,6.479950626589467,80000,155.91958737373352,1240.1076004505157
50,0.06456218394149096,0.88,0.9545454545454546,0.3333333333333333,0.06456218394149096,0.15587796967464615,0.751679064569789,0.00032759032515244924,0.04773624622987636,0.1517752226703317,0.751679064569789,3.356665739501219e-06,6.489665302618363,90000,156.2128324508667,1396.3204369544983
50,0.04193371104455186,0.76,0.7567567567567568,0.7692307692307693,0.04193371104455186,0.0679475296386049,0.4638606721557228,0.00023577561237830835,0.0031304048060302463,0.0049378323244143605,0.02571895647180067,1.210570766990715e-06,6.483063076728181,100000,155.1736192703247,1551.4940600395203
50,0.07069676003019854,0.64,0.6341463414634146,0.6666666666666666,0.07069676003019854,0.12892760428704794,0.8282613845984176,0.00019824290070558082,0.022823873432405266,0.11522465703112994,0.8282613845984176,0.00014580175093065195,6.492756297458634,110000,155.839373588562,1707.333437204361
50,0.1210158718771714,0.64,0.7317073170731707,0.2222222222222222,0.1210158718771714,0.20313115202256404,0.8265182759149906,7.308656257520862e-05,0.0880752642808868,0.2109801858736162,0.8265182759149906,5.9688713875738486e-05,6.498353691308309,120000,155.5188524723053,1862.8522930145264
50,0.0437992995386256,0.84,0.8372093023255814,0.8571428571428571,0.0437992995386256,0.08101386245679974,0.43074383408252714,0.0011536050070218296,0.021344338107596627,0.08124737827266533,0.42631020196584535,4.0024135597116484e-05,6.487068941863667,130000,155.68015217781067,2018.5324492454529
50,0.07422259209710075,0.72,0.775,0.5,0.07422259209710075,0.15962076753900087,0.8244019019423577,0.00011008269821619066,0.020178790189532746,0.11500978009998669,0.8244019019423577,4.783026049454131e-05,6.509175256897105,140000,155.91546511650085,2174.447918176651
50,0.025114221919781046,0.84,0.8333333333333334,0.875,0.025114221919781046,0.019419835315645218,0.06915458842110278,0.0002654707732304695,0.0072489086004792315,0.011698680208030542,0.04445553633286303,1.0599595182556043e-05,6.507455118319719,150000,155.00373673439026,2329.4516587257385
50,0.025320844345563875,0.9,0.9534883720930233,0.5714285714285714,0.025320844345563875,0.02523707875050126,0.14975545833232737,0.0007933899653818632,0.0032609087700905103,0.004858098065094378,0.02582433008483831,1.2726807824603448e-05,6.509047360765125,160000,156.1282091140747,2485.579873085022
50,0.027090491639133702,0.84,0.85,0.8,0.027090491639133702,0.03270523939186609,0.18290043300045972,0.00025924345399508386,0.0036336809033396963,0.0038829044546700485,0.020005439407109527,3.3497367927987076e-05,6.501772426145059,170000,155.76263236999512,2641.3425092697144
50,0.1432301575464897,0.58,0.725,0.0,0.1432301575464897,0.22139615579668961,0.7790082230517194,0.0009992640370596884,0.10043518670769348,0.22527483280266813,0.7790082230517194,4.2240857321407255e-05,6.504859726781182,180000,154.69529843330383,2796.0378110408783
50,0.025432819810520965,0.84,0.8,1.0,0.025432819810520965,0.02192840840999286,0.07833856503185535,0.00034150658731640915,0.0035121705966550203,0.0041343866093528844,0.02205838080436162,9.376640034197692e-06,6.4854157899216744,190000,156.5555465221405,2952.5933616161346
