Eval num episodes,Eval avg final dist,Eval success ratio,Eval success ratio_left,Eval success ratio_right,Eval n_left,Eval n_right,Eval mean final l2 dist,Eval median final l2 dist,Eval mean final landed,Eval mean any landed,Eval average final y,policy loss,timesteps,epoch time (s),total time (s)
50,0.4767485127872098,0.04,nan,nan,0,0,0.4767485127872098,0.3774473140166581,0.0,0.04,0.0028996435,0,0,3.112184762954712,3.1121881008148193
50,0.8268892549809194,0.02,0.02,nan,50,0,0.8268892549809194,0.8128001896076097,0.14,0.28,0.4969627,1.2584155251231983,2000,9.75967288017273,12.871864318847656
50,0.45565801541391093,0.06,0.06,nan,50,0,0.45565801541391093,0.3799255742578914,0.16,0.56,0.04042728,1.2311807755639326,4000,12.792593002319336,25.664461374282837
50,0.6166585744000244,0.12,0.12,nan,50,0,0.6166585744000244,0.6508092834787516,0.14,0.34,0.3600521,1.2325061200887104,6000,12.847870588302612,38.512335777282715
50,0.3343150764938245,0.12,0.12,nan,50,0,0.3343150764938245,0.29863400518401273,0.2,0.44,0.10730984,1.2301076254970515,8000,12.274550437927246,50.78688979148865
50,0.3597958566049623,0.22,nan,0.22,0,50,0.3597958566049623,0.19861498334131322,0.24,0.4,0.09958471,1.2207759262434363,10000,12.756584405899048,63.54347777366638
50,0.3220689323099396,0.22,nan,0.22,0,50,0.3220689323099396,0.2233103629572688,0.32,0.62,0.034120224,1.1879578389739966,12000,12.364676475524902,75.90815877914429
50,0.3033881720165103,0.2,0.2,nan,50,0,0.3033881720165103,0.261721578037181,0.28,0.52,0.039766904,1.1418327775864916,14000,12.904145956039429,88.81230854988098
50,0.21005225840451644,0.36,0.36,nan,50,0,0.21005225840451644,0.12054740351659993,0.24,0.46,0.07977542,1.076507688227365,16000,12.519696474075317,101.33200860023499
50,0.26806790735435904,0.26,nan,0.26,0,50,0.26806790735435904,0.13276649407049212,0.16,0.48,0.049894962,1.0372357317893464,18000,12.816570281982422,114.1485824584961
50,0.2708236020384798,0.24,0.24,nan,50,0,0.2708236020384798,0.136515759413746,0.2,0.34,0.08544781,0.9685625736452049,20000,12.486979246139526,126.63556575775146
50,0.2253872624689176,0.34,0.34,nan,50,0,0.2253872624689176,0.10523269095036253,0.24,0.56,0.024715014,0.9693892390641947,22000,12.872462272644043,139.50803184509277
50,0.17417609900477465,0.52,0.52,nan,50,0,0.17417609900477465,0.07248249924035788,0.36,0.52,0.02205113,0.924442845735106,24000,12.62102198600769,152.12905764579773
50,0.16460795590514665,0.58,0.58,nan,50,0,0.16460795590514665,0.06097722155176595,0.26,0.52,0.036227494,0.9158444793525458,26000,12.884447574615479,165.01350951194763
50,0.20125759037843335,0.56,0.56,nan,50,0,0.20125759037843335,0.05767635257741851,0.3,0.62,0.024374321,0.9091949501516465,28000,12.720442771911621,177.73395657539368
50,0.17679520635174797,0.52,nan,0.52,0,50,0.17679520635174797,0.07551893845132612,0.38,0.56,0.002849356,0.9019166579300608,30000,12.845264911651611,190.57922530174255
50,0.17282500870292147,0.68,0.68,nan,50,0,0.17282500870292147,0.058262374283959986,0.2,0.48,-0.007541344,0.8855822965882022,32000,13.008326292037964,203.58755588531494
50,0.2124376296211195,0.44,0.44,nan,50,0,0.2124376296211195,0.0967784265738345,0.28,0.42,0.063027084,0.8716352058706415,34000,12.802858829498291,216.3904185295105
50,0.21776975242677316,0.48,0.48,nan,50,0,0.21776975242677316,0.08554897774469213,0.22,0.42,0.056479197,0.8485671061845519,36000,15.037058353424072,231.42748737335205
50,0.10822894854334197,0.6,0.6,nan,50,0,0.10822894854334197,0.06131077628668814,0.24,0.52,0.008002591,0.8495238573835984,38000,15.960014581680298,247.3875069618225
50,0.15490965647190547,0.64,nan,0.64,0,50,0.15490965647190547,0.05665073432570927,0.24,0.52,0.02421298,0.8476027229984278,40000,12.935736656188965,260.32324743270874
50,0.17950539873272905,0.56,nan,0.56,0,50,0.17950539873272905,0.05172696636323634,0.24,0.5,0.04804895,0.8248360378186876,42000,12.65548586845398,272.97873759269714
50,0.10990493095967149,0.6,nan,0.6,0,50,0.10990493095967149,0.058191898007122,0.18,0.5,0.015466858,0.8254217739540757,44000,13.690181732177734,286.66892313957214
50,0.14653778439467297,0.56,0.56,nan,50,0,0.14653778439467297,0.07221965038673953,0.24,0.56,0.025598474,0.8095311164950065,46000,12.848169326782227,299.5170969963074
50,0.23579961613574535,0.46,0.46,nan,50,0,0.23579961613574535,0.08942918504006724,0.24,0.48,0.022959702,0.8222543327878966,48000,13.320740461349487,312.8378417491913
50,0.1746156534980287,0.52,0.52,nan,50,0,0.1746156534980287,0.07208857377690829,0.26,0.46,0.04507999,0.80281502727674,50000,13.171202898025513,326.00904870033264
50,0.12655320704627282,0.68,0.68,nan,50,0,0.12655320704627282,0.05899779669448048,0.3,0.54,0.014900208,0.8087041512764793,52000,13.541002988815308,339.55005621910095
50,0.16318019724452934,0.52,0.52,nan,50,0,0.16318019724452934,0.07355335570461383,0.18,0.36,0.07870733,0.8199781401374839,54000,12.76189923286438,352.31196117401123
50,0.1519529160492045,0.64,0.64,nan,50,0,0.1519529160492045,0.05128986988871052,0.24,0.46,0.021972692,0.7900305751962962,56000,13.989372491836548,366.30134201049805
50,0.18073958617131627,0.54,0.54,nan,50,0,0.18073958617131627,0.0697048026983516,0.26,0.56,0.016043479,0.7795593494761561,58000,13.017264127731323,379.3186104297638
50,0.1961239769991464,0.54,0.54,nan,50,0,0.1961239769991464,0.07511160744587655,0.24,0.48,0.041052908,0.786520132372923,60000,13.214899063110352,392.53351378440857
