Eval num episodes,Eval avg final dist,Eval success ratio,Eval success ratio_left,Eval success ratio_right,Eval final door distance Mean,Eval final door distance Std,Eval final door distance Max,Eval final door distance Min,Eval min door distance Mean,Eval min door distance Std,Eval min door distance Max,Eval min door distance Min,policy loss,timesteps,epoch time (s),total time (s)
50,0.26705974267936833,0.1,0.1111111111111111,0.0,0.26705974267936833,0.1630878698408373,0.8096828328705646,0.018197048155832837,0.267015666631014,0.1631554052115363,0.8096828328705646,0.015993245738116023,0,0,7.635024785995483,7.635026693344116
50,0.30787521733647183,0.12,0.15789473684210525,0.0,0.30787521733647183,0.20411609541225872,0.7411079227106625,0.009885394418113366,0.2735158451479915,0.19559049488110328,0.6577640197813064,5.4845015490245785e-06,3.2445470961117495,10000,103.21538925170898,110.85041999816895
50,0.23498146706405518,0.28,0.35135135135135137,0.07692307692307693,0.23498146706405518,0.2438288592959934,0.7910368018495966,0.0014765404902986057,0.15546856837600256,0.2622392278082536,0.7895990124508154,2.6349905534406304e-05,3.1873216287151576,20000,108.97920513153076,219.82962894439697
50,0.11110117162179907,0.42,0.44680851063829785,0.0,0.11110117162179907,0.1437240595944797,0.6936323939665728,0.0010993166925643005,0.042861714258458174,0.1298059252135369,0.6692166959780584,1.0976329170853116e-05,3.1589661118688963,30000,108.31815075874329,328.1477892398834
50,0.12136934091813671,0.32,0.34782608695652173,0.0,0.12136934091813671,0.13071209621492144,0.578429013484446,0.0016330481194249402,0.016034377842730384,0.045057965997324166,0.32406763714742,8.366164829032297e-05,3.120710652951323,40000,111.31023240089417,439.45802569389343
50,0.16340312077889493,0.32,0.2727272727272727,0.6666666666666666,0.16340312077889493,0.14571064635148526,0.563279376773966,0.0029948632959414523,0.014082839745269115,0.046828651596958065,0.33326041993543926,2.3982533877281442e-05,3.1148954589905045,50000,109.40594387054443,548.863972902298
50,0.10326139205720257,0.52,0.5555555555555556,0.42857142857142855,0.10326139205720257,0.13979873773161677,0.7989130025078469,0.0017512529018404721,0.028865904286980396,0.11146011679305244,0.7989130025078469,4.862005591505132e-05,3.081668194847981,60000,109.34428095817566,658.2082576751709
50,0.16339135987010636,0.28,0.2972972972972973,0.23076923076923078,0.16339135987010636,0.1512445229519994,0.5573167411103012,0.008875628715071526,0.009015568530899054,0.010918582314085564,0.053834466705907164,0.00016557679074462664,3.072816070367354,70000,109.45160293579102,767.6598641872406
50,0.11916882723899605,0.38,0.3181818181818182,0.8333333333333334,0.11916882723899605,0.11262239847092727,0.5693372154963707,0.0073963970519833055,0.008713469018598785,0.010208847382272868,0.04475009641773009,4.896904262058355e-06,3.0560753034383215,80000,109.6623044013977,877.322172164917
50,0.12974180433037905,0.3,0.22727272727272727,0.8333333333333334,0.12974180433037905,0.13486662636709262,0.47135771373092505,0.0027429767305166067,0.011199240953305356,0.010743612833808465,0.039019520487932335,0.00013428763287942624,3.050940900488744,90000,109.33603811264038,986.6582140922546
50,0.12518110104728555,0.52,0.35135135135135137,1.0,0.12518110104728555,0.14724506654772698,0.4375854718459853,0.0002834308620900394,0.009408194479491969,0.009740163763429776,0.04987288031223053,7.197836679989633e-06,3.0488019833206916,100000,110.39925384521484,1097.0574712753296
50,0.1430869168621805,0.34,0.3170731707317073,0.4444444444444444,0.1430869168621805,0.15466150537120468,0.8282613845984177,0.005497374333064131,0.028186684360955745,0.11482006290050698,0.8282613845984177,0.0007761124522643326,3.023611278876188,110000,110.19748616218567,1207.2549612522125
