Eval num episodes,Eval avg final dist,Eval success ratio,Eval mean final l2 dist,Eval median final l2 dist,Eval mean final landed,Eval mean any landed,Eval average final y,policy loss,timesteps,epoch time (s),total time (s),Conditional loss,Marginal loss,Validation loss,Conditional Validation loss,Marginal Validation loss
50,0.43109021596772074,0.12,0.43109021596772074,0.36133220564471724,0.48,0.7,-0.028938675,0,0,3.5580384731292725,3.5580410957336426,0,0,0,0,0
50,0.6174114607242932,0.04,0.6174114607242932,0.62183386573394,0.32,0.58,0.25132158,2.5704128435823885,1.268503405044229,1.3019094602203098,2.9292308583846327,1.4121787165034962,1.5170520986058018,2000,20.273637533187866,23.831684827804565
50,0.3630341190406218,0.08,0.3630341190406218,0.2778864401929979,0.42,0.62,-0.0054190885,2.5274201005341546,1.2372405064505203,1.2901796081504955,2.891330237350416,1.4025801281939931,1.4887500899468578,4000,35.38871431350708,59.22040367126465
50,0.36028421366983737,0.18,0.36028421366983737,0.2918186922742832,0.12,0.3,0.21883656,2.512361413129207,1.2267206295221145,1.285640767873461,2.8743463461182177,1.3889243599043053,1.4854219896466696,6000,35.23149561882019,94.45190358161926
50,0.23025591552058983,0.38,0.23025591552058983,0.19982015808120995,0.06,0.42,0.03973188,2.5323095646430085,1.2334417256348313,1.2988678370849034,2.894909652642457,1.4020772068822125,1.4928324422453776,8000,35.684141397476196,130.13604974746704
50,0.3776343546581517,0.22,0.3776343546581517,0.3039676182979168,0.06,0.4,0.19244254,2.506416769305087,1.2182213770679244,1.288195390730561,2.852778157470565,1.369793514969325,1.4829846407312628,10000,35.09364461898804,165.22969913482666
50,0.29141347633284387,0.32,0.29141347633284387,0.16682005837807223,0.08,0.16,0.23436028,2.4598953846111007,1.1883038473322962,1.2715915589256113,2.7816553069809142,1.327838106686954,1.4538172310921476,12000,34.54988241195679,199.77958607673645
50,0.17317581373150293,0.34,0.17317581373150293,0.12515195467007856,0.22,0.4,0.08339615,2.3962888514889644,1.1589837642124932,1.2373050852732463,2.711858002302139,1.2823642434644626,1.4294937543158397,14000,35.393542766571045,235.17313385009766
50,0.15491632842968767,0.38,0.15491632842968767,0.10232579584594972,0.1,0.2,0.07530128,2.3086517245768796,1.108005305707182,1.2006464395825334,2.6463033058882237,1.2550382276093766,1.3912650655254657,16000,35.75384998321533,270.926988363266
50,0.19670662656629362,0.34,0.19670662656629362,0.1108389363341909,0.12,0.36,0.09821372,2.198158806723594,1.0512129530717544,1.14694587240262,2.5645607731491897,1.197240095782267,1.3673207043413944,18000,35.70503783226013,306.632031917572
50,0.19105570736634767,0.32,0.19105570736634767,0.1158828688928388,0.14,0.38,0.105094366,2.165998127865053,1.026832782970899,1.13916530320381,2.5390398936857097,1.1893914882197014,1.3496483925223064,20000,34.74493169784546,341.3769681453705
50,0.2178322849000747,0.46,0.2178322849000747,0.11054024838211457,0.2,0.38,0.14638089,2.1809108957864556,1.0302681971062315,1.150642682351552,2.477110457058519,1.1568537417420337,1.320256716292802,22000,34.50964641571045,375.8866193294525
50,0.2249429086298368,0.4,0.2249429086298368,0.10600613979513791,0.16,0.36,0.12456329,2.129877843414455,1.0136066176861132,1.116271230390993,2.45771438001432,1.1342584349638771,1.323455972449052,24000,35.305216550827026,411.19184041023254
50,0.13356745253854696,0.6,0.13356745253854696,0.0710357957574671,0.26,0.44,0.036003917,2.1206401282197533,1.0027420730092242,1.1178980299399885,2.420369285758599,1.1125941533416395,1.3077751154470583,26000,35.17012977600098,446.3619749546051
50,0.16694105775008228,0.54,0.16694105775008228,0.07668943144297091,0.2,0.44,0.08523417,2.08876219606893,0.9855346717776926,1.1032274951870038,2.3739110926751184,1.0979976028523222,1.27591350991248,28000,35.15811371803284,481.5200939178467
50,0.13744312656202878,0.58,0.13744312656202878,0.069541714092131,0.2,0.48,0.02997142,2.0313954958990426,0.9604001921819323,1.0709952968146426,2.3282238589400834,1.070365108732145,1.2578587455788552,30000,34.64968657493591,516.1697845458984
50,0.2630992994024457,0.32,0.2630992994024457,0.12965245934085576,0.12,0.26,0.1685233,2.0095082382709495,0.9427407249782761,1.0667674936791323,2.3244896264628494,1.0679118522757582,1.2565777729673024,32000,34.43077993392944,550.6005685329437
50,0.27322223725022626,0.34,0.27322223725022626,0.10499786475584091,0.16,0.32,0.1768075,2.004187369219808,0.9505177222417308,1.0536696199007765,2.277857784231639,1.0472783914878887,1.23057933051761,34000,35.21698355674744,585.8175566196442
50,0.16325988598367247,0.48,0.16325988598367247,0.08066486163184153,0.22,0.48,0.03548232,2.007818518467064,0.945286894006378,1.0625316065313535,2.2664506989510818,1.048678886851071,1.21777179421947,36000,35.17778706550598,620.9953479766846
50,0.23663765434456974,0.5,0.23663765434456974,0.07557288965161515,0.22,0.42,0.07802942,1.986715863471605,0.9338191014790086,1.0528967354362884,2.2600287450722054,1.0432435898206378,1.2167851510177776,38000,35.198153495788574,656.1935064792633
50,0.08767595395815325,0.68,0.08767595395815325,0.05556570461224784,0.16,0.52,0.015438715,1.9518060427052326,0.9225822921639576,1.02922376938513,2.2561180957423628,1.0423195513544774,1.21379852813077,40000,34.6011757850647,690.7946863174438
50,0.3623229725313087,0.26,0.3623229725313087,0.24324717240940358,0.14,0.28,0.24005379,1.9178374611700215,0.9070045683444069,1.0108329323442335,2.2536829006522012,1.033780745094183,1.219902138841801,42000,34.863779067993164,725.6584701538086
