Eval num episodes,Eval avg final dist,Eval success ratio,Eval success ratio_left,Eval success ratio_right,Eval n_left,Eval n_right,Eval mean final l2 dist,Eval median final l2 dist,Eval mean final landed,Eval mean any landed,Eval average final y,policy loss,timesteps,epoch time (s),total time (s),Conditional loss,Marginal loss,Validation loss,Conditional Validation loss,Marginal Validation loss
50,0.3881920613000302,0.16,0.13636363636363635,0.17857142857142858,22,28,0.3881920613000302,0.3671521074163334,0.42,0.5,-0.024836292,0,0,3.1303391456604004,3.130342721939087,0,0,0,0,0
50,0.9653427116949258,0.04,0.06451612903225806,0.0,31,19,0.9653427116949258,0.5954991783292368,0.26,0.42,0.6248211,2.5791833782859057,1.2648453818065015,1.3143380471491222,2.828180205058194,1.3825529520800026,1.4456272290167298,2000,16.215556859970093,19.345906257629395
50,1.0209681802625301,0.02,0.0,0.038461538461538464,24,26,1.0209681802625301,0.6153915341549525,0.22,0.26,0.7000005,2.523225443205715,1.2316621561428387,1.2915632902803256,2.879587026454898,1.4000192734417094,1.4795676676538685,4000,24.77488613128662,44.1207959651947
50,1.4817245618617982,0.04,0.058823529411764705,0.0,34,16,1.4817245618617982,0.9368715412312033,0.18,0.22,1.2644006,2.5416187992571504,1.2369335737591807,1.304685230098263,2.963879718233897,1.363098212262355,1.6007814979322457,6000,24.5161771774292,68.63697671890259
50,0.5796450262319233,0.1,0.19230769230769232,0.0,26,24,0.5796450262319233,0.4122634244314855,0.3,0.56,0.3313707,2.5278407896691144,1.2232027665803091,1.3046380745379007,2.9247833396045446,1.3577841835478472,1.5669991739109554,8000,24.62957262992859,93.26655316352844
50,0.5253140772031157,0.14,0.1724137931034483,0.09523809523809523,29,21,0.5253140772031157,0.42656277468276504,0.2,0.36,0.25541052,2.5390822871994483,1.2260594810111756,1.313022821341033,2.8756188995001195,1.3490272188780632,1.5265916999741682,10000,24.546406507492065,117.81296372413635
50,0.3405012277848283,0.14,0.16666666666666666,0.11538461538461539,24,26,0.3405012277848283,0.28163202900074813,0.4,0.54,0.059827298,2.4895489088027407,1.1915571105312894,1.2979918549438108,2.8350316631868857,1.3227549735989057,1.5122766609102418,12000,24.670843601226807,142.48381161689758
50,0.25754174432142707,0.26,0.2916666666666667,0.23076923076923078,24,26,0.25754174432142707,0.185319478940487,0.22,0.44,0.043923706,2.4353490734247303,1.1603613110413629,1.2749877778630565,2.7394157389333813,1.2679802214949611,1.471435595587304,14000,24.676469564437866,167.16028547286987
50,0.30457541998343307,0.36,0.4838709677419355,0.15789473684210525,31,19,0.30457541998343307,0.14573015664095765,0.22,0.38,0.19559883,2.3962078399449798,1.1367376118163375,1.259470177644452,2.7018797398908325,1.2393529954068638,1.46252671799536,16000,24.895221948623657,192.0555121898651
50,0.17061937068929522,0.44,0.5,0.375,26,24,0.17061937068929522,0.08701332206467441,0.08,0.32,0.08045758,2.3747019860792955,1.133906621572671,1.2407953384600954,2.6920581343590526,1.253812947524574,1.4382452027924437,18000,24.930307865142822,216.98582458496094
50,0.134640896458269,0.48,0.5833333333333334,0.38461538461538464,24,26,0.134640896458269,0.0827018641264628,0.22,0.36,0.04809727,2.3393320812065603,1.108519610351408,1.2308124502011688,2.646065718197699,1.2238741495223906,1.4221915830097374,20000,30.159008264541626,247.1448369026184
50,0.13811662892266033,0.5,0.5,0.5,24,26,0.13811662892266033,0.08059266273265692,0.24,0.58,0.044191122,2.3166456464441745,1.0962869649338647,1.2203586947021048,2.6238328667998845,1.2117360651251023,1.4120968778070575,22000,24.87278938293457,272.0176303386688
50,0.2451988962634532,0.36,0.25,0.46153846153846156,24,26,0.2451988962634532,0.09963725279460081,0.12,0.4,0.13238606,2.320865236610924,1.0969619873959426,1.2239032655757878,2.5697074831588638,1.1808853447522054,1.388822146150323,24000,25.67239284515381,297.69002652168274
50,0.2238129576893471,0.44,0.5,0.40625,18,32,0.2238129576893471,0.10300541367825519,0.26,0.4,0.124621056,2.259412701382948,1.066880175336185,1.1925325269174698,2.627939139720768,1.2054253847300698,1.422513810869026,26000,25.48585820198059,323.1758921146393
50,0.25512269823617323,0.36,0.25,0.46153846153846156,24,26,0.25512269823617323,0.14634672916966404,0.1,0.18,0.18847488,2.26149679933997,1.0641939720123357,1.1973028361642084,2.565458765548432,1.1750763397627084,1.3903824104342228,28000,25.714144945144653,348.8900411128998
50,0.34174407569759213,0.32,0.25925925925925924,0.391304347826087,27,23,0.34174407569759213,0.18999017678692,0.1,0.28,0.25858024,2.258733368788421,1.0625403813070684,1.196192976920669,2.5984806174802246,1.1931801344622002,1.4053004824287352,30000,26.20269799232483,375.0927438735962
50,0.2195875012458426,0.46,0.5384615384615384,0.375,26,24,0.2195875012458426,0.10662493857846661,0.18,0.26,0.13088877,2.246995101734924,1.0459728617910609,1.2010222206171193,2.563580946032612,1.1640008061961848,1.3995801482723604,32000,25.497592210769653,400.5903398990631
50,0.24735895210439499,0.38,0.25,0.5,24,26,0.24735895210439499,0.14165887632531587,0.18,0.42,0.15658309,2.2664671577023516,1.0629117514218915,1.2035554273181954,2.5873889829343515,1.1646257481797069,1.4227632962570074,34000,25.352072715759277,425.9424169063568
50,0.18792046915187577,0.52,0.6521739130434783,0.4074074074074074,23,27,0.18792046915187577,0.07387758562155111,0.26,0.46,0.048056502,2.2462560792336865,1.0509987454433687,1.1952573448991712,2.5362870366064234,1.15058548236796,1.3857015178941015,36000,25.423620223999023,451.3660418987274
50,0.17722095476893263,0.54,0.6666666666666666,0.4482758620689655,21,29,0.17722095476893263,0.06930216500755454,0.24,0.38,0.037486836,2.2475578477722284,1.0479913736614637,1.1995664942051518,2.5364464421967963,1.1514398362201894,1.385006629444372,38000,25.39449691772461,476.7605438232422
50,0.17051300487179893,0.58,0.5416666666666666,0.6153846153846154,24,26,0.17051300487179893,0.06452005799228651,0.34,0.6,0.032322023,2.2113298088360622,1.035672103344396,1.1756576678950226,2.506861202677977,1.1377735715661181,1.3690876016656657,40000,25.494457006454468,502.25500559806824
50,0.16995107567752613,0.52,0.5517241379310345,0.47619047619047616,29,21,0.16995107567752613,0.07580598313749612,0.34,0.56,0.0547119,2.2268948250670495,1.03726139817517,1.1896334303869627,2.529246841481645,1.168351607942642,1.3608952054125896,42000,25.47926640510559,527.7342762947083
50,0.19136373932014425,0.6,0.68,0.52,25,25,0.19136373932014425,0.05898572075870914,0.28,0.66,0.0021955022,2.2170877448394286,1.0278964826189896,1.1891913013224131,2.5092663750652604,1.1408307003541855,1.368435744811008,44000,25.418968439102173,553.1532487869263
